epoch_prev,epoch_curr,n_samples,cka_value,cka_change,below_tau
5,10,2040,0.787243,0.212757,0
10,15,2040,0.663975,0.336025,0
15,20,2040,0.789741,0.210259,0
20,25,2040,0.77003,0.22997,0
25,30,2040,0.795272,0.204728,0
30,35,2040,0.823107,0.176893,0
35,40,2040,0.835019,0.164981,0
40,45,2040,0.777334,0.222666,0
45,50,2040,0.789184,0.210816,0
50,55,2040,0.86087,0.13913,0
55,60,2040,0.806789,0.193211,0
60,65,2040,0.738098,0.261902,0
65,70,2040,0.804391,0.195609,0
70,75,2040,0.823624,0.176376,0
75,80,2040,0.81176,0.18824,0
80,85,2040,0.785471,0.214529,0
85,90,2040,0.854549,0.145451,0
90,95,2040,0.829565,0.170435,0
95,100,2040,0.823191,0.176809,0
100,105,2040,0.831908,0.168092,0
105,110,2040,0.818055,0.181945,0
110,115,2040,0.838131,0.161869,0
115,120,2040,0.850582,0.149418,0
120,125,2040,0.84888,0.15112,0
125,130,2040,0.857657,0.142343,0
130,135,2040,0.853993,0.146007,0
135,140,2040,0.856533,0.143467,0
140,145,2040,0.889347,0.110653,0
145,150,2040,0.89126,0.10874,0
150,155,2040,0.90926,0.09074,0
155,160,2040,0.92319,0.07681,0
160,165,2040,0.941171,0.058829,0
165,170,2040,0.961927,0.038073,0
170,175,2040,0.986128,0.013872,1
175,180,2040,0.994301,0.005699,1
180,185,2040,0.997483,0.002517,1
185,190,2040,0.998985,0.001015,1
190,195,2040,0.999392,0.000608,1
195,200,2040,0.999609,0.000391,1
