epoch_prev,epoch_curr,drs_value,drs_change,below_tau
5,10,0.678394,0.321606,0
15,20,0.787978,0.212022,0
25,30,0.83898,0.16102,0
35,40,0.803486,0.196514,0
45,50,0.811946,0.188054,0
55,60,0.852449,0.147551,0
65,70,0.836654,0.163346,0
75,80,0.829407,0.170593,0
85,90,0.866398,0.133602,0
95,100,0.854264,0.145736,0
105,110,0.870787,0.129213,0
115,120,0.850084,0.149916,0
125,130,0.828619,0.171381,0
135,140,0.826238,0.173762,0
145,150,0.903504,0.096496,0
155,160,0.838879,0.161121,0
165,170,0.831212,0.168788,0
175,180,0.86148,0.13852,0
185,190,0.841079,0.158921,0
195,200,0.886338,0.113662,0
205,210,0.850218,0.149782,0
215,220,0.838343,0.161657,0
225,230,0.86139,0.13861,0
235,240,0.857981,0.142019,0
245,250,0.87787,0.12213,0
255,260,0.892014,0.107986,0
265,270,0.89705,0.10295,0
275,280,0.902665,0.097335,0
285,290,0.90398,0.09602,0
295,300,0.875179,0.124821,0
