epoch_prev,epoch_curr,n_samples,cka_value,cka_change,below_tau
5,10,2040,0.844473,0.155527,0
10,15,2040,0.797318,0.202682,0
15,20,2040,0.835925,0.164075,0
20,25,2040,0.775184,0.224816,0
25,30,2040,0.750102,0.249898,0
30,35,2040,0.771551,0.228449,0
35,40,2040,0.776218,0.223782,0
40,45,2040,0.802282,0.197718,0
45,50,2040,0.822944,0.177056,0
50,55,2040,0.809968,0.190032,0
55,60,2040,0.802078,0.197922,0
60,65,2040,0.798962,0.201038,0
65,70,2040,0.837335,0.162665,0
70,75,2040,0.805044,0.194956,0
75,80,2040,0.818276,0.181724,0
80,85,2040,0.765051,0.234949,0
85,90,2040,0.776468,0.223532,0
90,95,2040,0.812687,0.187313,0
95,100,2040,0.840317,0.159683,0
100,105,2040,0.828941,0.171059,0
105,110,2040,0.806645,0.193355,0
110,115,2040,0.81949,0.18051,0
115,120,2040,0.820637,0.179363,0
120,125,2040,0.8077,0.1923,0
125,130,2040,0.823883,0.176117,0
130,135,2040,0.794752,0.205248,0
135,140,2040,0.79142,0.20858,0
140,145,2040,0.856109,0.143891,0
145,150,2040,0.824942,0.175058,0
150,155,2040,0.862379,0.137621,0
155,160,2040,0.846324,0.153676,0
160,165,2040,0.842575,0.157425,0
165,170,2040,0.816187,0.183813,0
170,175,2040,0.813945,0.186055,0
175,180,2040,0.827091,0.172909,0
180,185,2040,0.82148,0.17852,0
185,190,2040,0.861335,0.138665,0
190,195,2040,0.857397,0.142603,0
195,200,2040,0.871825,0.128175,0
200,205,2040,0.848971,0.151029,0
205,210,2040,0.848408,0.151592,0
210,215,2040,0.870567,0.129433,0
215,220,2040,0.872525,0.127475,0
220,225,2040,0.902347,0.097653,0
225,230,2040,0.903482,0.096518,0
230,235,2040,0.910728,0.089272,0
235,240,2040,0.89118,0.10882,0
240,245,2040,0.912172,0.087828,0
245,250,2040,0.947633,0.052367,0
250,255,2040,0.960924,0.039076,0
255,260,2040,0.976431,0.023569,0
260,265,2040,0.989357,0.010643,1
265,270,2040,0.996007,0.003993,1
270,275,2040,0.997017,0.002983,1
275,280,2040,0.998582,0.001418,1
280,285,2040,0.999323,0.000677,1
285,290,2040,0.999261,0.000739,1
290,295,2040,0.999597,0.000403,1
295,300,2040,0.999794,0.000206,1
