epoch_prev,epoch_curr,drs_value,drs_change,below_tau,consecutive_count,is_t_star_trigger
5,10,0.811731,0.188269,0,0,0
15,20,0.74271,0.25729,0,0,0
25,30,0.732957,0.267043,0,0,0
35,40,0.805301,0.194699,0,0,0
45,50,0.873715,0.126285,0,0,0
55,60,0.84638,0.15362,0,0,0
65,70,0.871546,0.128454,0,0,0
75,80,0.861397,0.138603,0,0,0
85,90,0.809591,0.190409,0,0,0
95,100,0.828958,0.171042,0,0,0
105,110,0.89071,0.10929,0,0,0
115,120,0.880159,0.119841,0,0,0
125,130,0.84725,0.15275,0,0,0
135,140,0.852046,0.147954,0,0,0
145,150,0.865001,0.134999,0,0,0
155,160,0.857946,0.142054,0,0,0
165,170,0.820068,0.179932,0,0,0
175,180,0.872374,0.127626,0,0,0
185,190,0.883464,0.116536,0,0,0
195,200,0.869929,0.130071,0,0,0
205,210,0.839827,0.160173,0,0,0
215,220,0.879637,0.120363,0,0,0
225,230,0.898327,0.101673,0,0,0
235,240,0.84508,0.15492,0,0,0
245,250,0.893061,0.106939,0,0,0
255,260,0.883328,0.116672,0,0,0
265,270,0.906842,0.093158,0,0,0
275,280,0.908722,0.091278,0,0,0
285,290,0.89008,0.10992,0,0,0
295,300,0.909069,0.090931,0,0,0
