epoch_prev,epoch_curr,cka_value,cka_change,below_tau,consecutive_count,is_t_star_trigger
5,10,0.801725,0.198275,0,0,0
10,15,0.805122,0.194878,0,0,0
15,20,0.838276,0.161724,0,0,0
20,25,0.785768,0.214232,0,0,0
25,30,0.713114,0.286886,0,0,0
30,35,0.76625,0.23375,0,0,0
35,40,0.803028,0.196972,0,0,0
40,45,0.802094,0.197906,0,0,0
45,50,0.82998,0.17002,0,0,0
50,55,0.823961,0.176039,0,0,0
55,60,0.748801,0.251199,0,0,0
60,65,0.78697,0.21303,0,0,0
65,70,0.824821,0.175179,0,0,0
70,75,0.831289,0.168711,0,0,0
75,80,0.8027,0.1973,0,0,0
80,85,0.805808,0.194192,0,0,0
85,90,0.846823,0.153177,0,0,0
90,95,0.752372,0.247628,0,0,0
95,100,0.767392,0.232608,0,0,0
100,105,0.743793,0.256207,0,0,0
105,110,0.784979,0.215021,0,0,0
110,115,0.829521,0.170479,0,0,0
115,120,0.822643,0.177357,0,0,0
120,125,0.811538,0.188462,0,0,0
125,130,0.801452,0.198548,0,0,0
130,135,0.815131,0.184869,0,0,0
135,140,0.851423,0.148577,0,0,0
140,145,0.839263,0.160737,0,0,0
145,150,0.813021,0.186979,0,0,0
150,155,0.835041,0.164959,0,0,0
155,160,0.826648,0.173352,0,0,0
160,165,0.82797,0.17203,0,0,0
165,170,0.840929,0.159071,0,0,0
170,175,0.850559,0.149441,0,0,0
175,180,0.870381,0.129619,0,0,0
180,185,0.838258,0.161742,0,0,0
185,190,0.847861,0.152139,0,0,0
190,195,0.871588,0.128412,0,0,0
195,200,0.857512,0.142488,0,0,0
200,205,0.839728,0.160272,0,0,0
205,210,0.82665,0.17335,0,0,0
210,215,0.869511,0.130489,0,0,0
215,220,0.873883,0.126117,0,0,0
220,225,0.871848,0.128152,0,0,0
225,230,0.8944,0.1056,0,0,0
230,235,0.910187,0.089813,0,0,0
235,240,0.906918,0.093082,0,0,0
240,245,0.912438,0.087562,0,0,0
245,250,0.945777,0.054223,0,0,0
250,255,0.962361,0.037639,0,0,0
255,260,0.974958,0.025042,0,0,0
260,265,0.991526,0.008474,1,1,0
265,270,0.995888,0.004112,1,2,0
270,275,0.997439,0.002561,1,3,0
275,280,0.998329,0.001671,1,4,0
280,285,0.999519,0.000481,1,5,1
285,290,0.999369,0.000631,1,6,0
290,295,0.999445,0.000555,1,7,0
295,300,0.999391,0.000609,1,8,0
