epoch_prev,epoch_curr,cka_value,cka_change,below_tau,consecutive_count,is_t_star_trigger
5,10,0.787243,0.212757,0,0,0
10,15,0.663975,0.336025,0,0,0
15,20,0.789741,0.210259,0,0,0
20,25,0.77003,0.22997,0,0,0
25,30,0.795272,0.204728,0,0,0
30,35,0.823107,0.176893,0,0,0
35,40,0.835019,0.164981,0,0,0
40,45,0.777334,0.222666,0,0,0
45,50,0.789184,0.210816,0,0,0
50,55,0.86087,0.13913,0,0,0
55,60,0.806789,0.193211,0,0,0
60,65,0.738098,0.261902,0,0,0
65,70,0.804391,0.195609,0,0,0
70,75,0.823624,0.176376,0,0,0
75,80,0.81176,0.18824,0,0,0
80,85,0.785471,0.214529,0,0,0
85,90,0.854549,0.145451,0,0,0
90,95,0.829565,0.170435,0,0,0
95,100,0.823191,0.176809,0,0,0
100,105,0.831908,0.168092,0,0,0
105,110,0.818055,0.181945,0,0,0
110,115,0.838131,0.161869,0,0,0
115,120,0.850582,0.149418,0,0,0
120,125,0.84888,0.15112,0,0,0
125,130,0.857657,0.142343,0,0,0
130,135,0.853993,0.146007,0,0,0
135,140,0.856533,0.143467,0,0,0
140,145,0.889347,0.110653,0,0,0
145,150,0.89126,0.10874,0,0,0
150,155,0.90926,0.09074,0,0,0
155,160,0.92319,0.07681,0,0,0
160,165,0.941171,0.058829,0,0,0
165,170,0.961927,0.038073,0,0,0
170,175,0.986128,0.013872,1,1,0
175,180,0.994301,0.005699,1,2,0
180,185,0.997483,0.002517,1,3,0
185,190,0.998985,0.001015,1,4,0
190,195,0.999392,0.000608,1,5,1
195,200,0.999609,0.000391,1,6,0
