epoch_prev,epoch_curr,drs_value,drs_change,below_tau,consecutive_count,is_t_star_trigger
5,10,0.73213,0.26787,0,0,0
15,20,0.813641,0.186359,0,0,0
25,30,0.795871,0.204129,0,0,0
35,40,0.828222,0.171778,0,0,0
45,50,0.767666,0.232334,0,0,0
55,60,0.816711,0.183289,0,0,0
65,70,0.816335,0.183665,0,0,0
75,80,0.853766,0.146234,0,0,0
85,90,0.82765,0.17235,0,0,0
95,100,0.864278,0.135722,0,0,0
105,110,0.80219,0.19781,0,0,0
115,120,0.79913,0.20087,0,0,0
125,130,0.832347,0.167653,0,0,0
135,140,0.879248,0.120752,0,0,0
145,150,0.881017,0.118983,0,0,0
155,160,0.882417,0.117583,0,0,0
165,170,0.887094,0.112906,0,0,0
175,180,0.889482,0.110518,0,0,0
185,190,0.89136,0.10864,0,0,0
195,200,0.859831,0.140169,0,0,0
