epoch_prev,epoch_curr,n_samples,cka_value,cka_change,below_tau
5,10,2040,0.871739,0.128261,0
10,15,2040,0.906945,0.093055,0
15,20,2040,0.913066,0.086934,0
20,25,2040,0.883445,0.116555,0
25,30,2040,0.896504,0.103496,0
30,35,2040,0.903871,0.096129,0
35,40,2040,0.893476,0.106524,0
40,45,2040,0.895638,0.104362,0
45,50,2040,0.890692,0.109308,0
50,55,2040,0.876911,0.123089,0
55,60,2040,0.873184,0.126816,0
60,65,2040,0.88617,0.11383,0
65,70,2040,0.872383,0.127617,0
70,75,2040,0.872825,0.127175,0
75,80,2040,0.872826,0.127174,0
80,85,2040,0.855032,0.144968,0
85,90,2040,0.860489,0.139511,0
90,95,2040,0.861602,0.138398,0
95,100,2040,0.863369,0.136631,0
100,105,2040,0.863407,0.136593,0
105,110,2040,0.876511,0.123489,0
110,115,2040,0.868532,0.131468,0
115,120,2040,0.856781,0.143219,0
120,125,2040,0.869906,0.130094,0
125,130,2040,0.877133,0.122867,0
130,135,2040,0.876554,0.123446,0
135,140,2040,0.87353,0.12647,0
140,145,2040,0.882548,0.117452,0
145,150,2040,0.878454,0.121546,0
150,155,2040,0.883044,0.116956,0
155,160,2040,0.866737,0.133263,0
160,165,2040,0.872855,0.127145,0
165,170,2040,0.860608,0.139392,0
170,175,2040,0.87157,0.12843,0
175,180,2040,0.877692,0.122308,0
180,185,2040,0.881339,0.118661,0
185,190,2040,0.872651,0.127349,0
190,195,2040,0.873038,0.126962,0
195,200,2040,0.873564,0.126436,0
200,205,2040,0.875585,0.124415,0
205,210,2040,0.879157,0.120843,0
210,215,2040,0.878732,0.121268,0
215,220,2040,0.886045,0.113955,0
220,225,2040,0.872907,0.127093,0
225,230,2040,0.878245,0.121755,0
230,235,2040,0.883274,0.116726,0
235,240,2040,0.888019,0.111981,0
240,245,2040,0.867171,0.132829,0
245,250,2040,0.870202,0.129798,0
250,255,2040,0.885163,0.114837,0
255,260,2040,0.891087,0.108913,0
260,265,2040,0.885711,0.114289,0
265,270,2040,0.895776,0.104224,0
270,275,2040,0.897369,0.102631,0
275,280,2040,0.881515,0.118485,0
280,285,2040,0.886407,0.113593,0
285,290,2040,0.889366,0.110634,0
290,295,2040,0.897898,0.102102,0
295,300,2040,0.879933,0.120067,0
