epoch_prev,epoch_curr,cka_value,cka_change,below_tau,consecutive_count,is_t_star_trigger
5,10,0.849029,0.150971,0,0,0
10,15,0.842213,0.157787,0,0,0
15,20,0.785186,0.214814,0,0,0
20,25,0.798591,0.201409,0,0,0
25,30,0.837026,0.162974,0,0,0
30,35,0.793625,0.206375,0,0,0
35,40,0.780259,0.219741,0,0,0
40,45,0.722115,0.277885,0,0,0
45,50,0.763856,0.236144,0,0,0
50,55,0.8333,0.1667,0,0,0
55,60,0.836407,0.163593,0,0,0
60,65,0.815687,0.184313,0,0,0
65,70,0.783523,0.216477,0,0,0
70,75,0.758206,0.241794,0,0,0
75,80,0.805387,0.194613,0,0,0
80,85,0.798434,0.201566,0,0,0
85,90,0.786198,0.213802,0,0,0
90,95,0.823463,0.176537,0,0,0
95,100,0.7888,0.2112,0,0,0
100,105,0.859776,0.140224,0,0,0
105,110,0.96881,0.03119,0,0,0
110,115,0.963518,0.036482,0,0,0
115,120,0.955965,0.044035,0,0,0
120,125,0.934705,0.065295,0,0,0
125,130,0.917788,0.082212,0,0,0
130,135,0.917865,0.082135,0,0,0
135,140,0.907632,0.092368,0,0,0
140,145,0.897113,0.102887,0,0,0
145,150,0.898399,0.101601,0,0,0
150,155,0.886621,0.113379,0,0,0
155,160,0.900882,0.099118,0,0,0
160,165,0.895528,0.104472,0,0,0
165,170,0.902124,0.097876,0,0,0
170,175,0.903798,0.096202,0,0,0
175,180,0.879109,0.120891,0,0,0
180,185,0.8889,0.1111,0,0,0
185,190,0.897445,0.102555,0,0,0
190,195,0.880615,0.119385,0,0,0
195,200,0.88845,0.11155,0,0,0
200,205,0.960565,0.039435,0,0,0
205,210,0.996959,0.003041,1,1,0
210,215,0.997462,0.002538,1,2,0
215,220,0.997542,0.002458,1,3,0
220,225,0.99815,0.00185,1,4,0
225,230,0.998594,0.001406,1,5,1
230,235,0.998893,0.001107,1,6,0
235,240,0.998547,0.001453,1,7,0
240,245,0.998967,0.001033,1,8,0
245,250,0.998825,0.001175,1,9,0
250,255,0.998839,0.001161,1,10,0
255,260,0.998447,0.001553,1,11,0
260,265,0.998592,0.001408,1,12,0
265,270,0.999116,0.000884,1,13,0
270,275,0.999026,0.000974,1,14,0
275,280,0.998874,0.001126,1,15,0
280,285,0.999085,0.000915,1,16,0
285,290,0.998935,0.001065,1,17,0
290,295,0.999025,0.000975,1,18,0
295,300,0.998816,0.001184,1,19,0
