epoch_prev,epoch_curr,drs_value,drs_change,below_tau,consecutive_count,is_t_star_trigger
5,10,0.686568,0.313432,0,0,0
15,20,0.79733,0.20267,0,0,0
25,30,0.834346,0.165654,0,0,0
35,40,0.806749,0.193251,0,0,0
45,50,0.770083,0.229917,0,0,0
55,60,0.819404,0.180596,0,0,0
65,70,0.783606,0.216394,0,0,0
75,80,0.849997,0.150003,0,0,0
85,90,0.827038,0.172962,0,0,0
95,100,0.82094,0.17906,0,0,0
105,110,0.869149,0.130851,0,0,0
115,120,0.873254,0.126746,0,0,0
125,130,0.88519,0.11481,0,0,0
135,140,0.914856,0.085144,0,0,0
145,150,0.881518,0.118482,0,0,0
155,160,0.9004,0.0996,0,0,0
165,170,0.873595,0.126405,0,0,0
175,180,0.880189,0.119811,0,0,0
185,190,0.856344,0.143656,0,0,0
195,200,0.879624,0.120376,0,0,0
205,210,0.84475,0.15525,0,0,0
215,220,0.880078,0.119922,0,0,0
225,230,0.886672,0.113328,0,0,0
235,240,0.901449,0.098551,0,0,0
245,250,0.86315,0.13685,0,0,0
255,260,0.889159,0.110841,0,0,0
265,270,0.905362,0.094638,0,0,0
275,280,0.916576,0.083424,0,0,0
285,290,0.911306,0.088694,0,0,0
295,300,0.917354,0.082646,0,0,0
