epoch_prev,epoch_curr,drs_value,drs_change,below_tau
5,10,0.62623,0.37377,0
15,20,0.827661,0.172339,0
25,30,0.800486,0.199514,0
35,40,0.84313,0.15687,0
45,50,0.785874,0.214126,0
55,60,0.864105,0.135895,0
65,70,0.85253,0.14747,0
75,80,0.854494,0.145506,0
85,90,0.821406,0.178594,0
95,100,0.758486,0.241514,0
105,110,0.873518,0.126482,0
115,120,0.87403,0.12597,0
125,130,0.87293,0.12707,0
135,140,0.871354,0.128646,0
145,150,0.826133,0.173867,0
155,160,0.875706,0.124294,0
165,170,0.843525,0.156475,0
175,180,0.880952,0.119048,0
185,190,0.852879,0.147121,0
195,200,0.861603,0.138397,0
205,210,0.877488,0.122512,0
215,220,0.889849,0.110151,0
225,230,0.858235,0.141765,0
235,240,0.878436,0.121564,0
245,250,0.884292,0.115708,0
255,260,0.896434,0.103566,0
265,270,0.897466,0.102534,0
275,280,0.909506,0.090494,0
285,290,0.870448,0.129552,0
295,300,0.85575,0.14425,0
