epoch_prev,epoch_curr,n_samples,cka_value,cka_change,below_tau
5,10,2040,0.774656,0.225344,0
10,15,2040,0.779313,0.220687,0
15,20,2040,0.833046,0.166954,0
20,25,2040,0.821809,0.178191,0
25,30,2040,0.723816,0.276184,0
30,35,2040,0.831978,0.168022,0
35,40,2040,0.830052,0.169948,0
40,45,2040,0.821484,0.178516,0
45,50,2040,0.775662,0.224338,0
50,55,2040,0.803196,0.196804,0
55,60,2040,0.749429,0.250571,0
60,65,2040,0.799251,0.200749,0
65,70,2040,0.812527,0.187473,0
70,75,2040,0.781139,0.218861,0
75,80,2040,0.783723,0.216277,0
80,85,2040,0.763182,0.236818,0
85,90,2040,0.840994,0.159006,0
90,95,2040,0.766098,0.233902,0
95,100,2040,0.783848,0.216152,0
100,105,2040,0.856371,0.143629,0
105,110,2040,0.965704,0.034296,0
110,115,2040,0.963653,0.036347,0
115,120,2040,0.953008,0.046992,0
120,125,2040,0.935381,0.064619,0
125,130,2040,0.936124,0.063876,0
130,135,2040,0.921361,0.078639,0
135,140,2040,0.906563,0.093437,0
140,145,2040,0.912499,0.087501,0
145,150,2040,0.916831,0.083169,0
150,155,2040,0.915234,0.084766,0
155,160,2040,0.894572,0.105428,0
160,165,2040,0.894616,0.105384,0
165,170,2040,0.889308,0.110692,0
170,175,2040,0.898639,0.101361,0
175,180,2040,0.892531,0.107469,0
180,185,2040,0.891112,0.108888,0
185,190,2040,0.891385,0.108615,0
190,195,2040,0.889231,0.110769,0
195,200,2040,0.87567,0.12433,0
200,205,2040,0.953213,0.046787,0
205,210,2040,0.99661,0.00339,1
210,215,2040,0.997086,0.002914,1
215,220,2040,0.99721,0.00279,1
220,225,2040,0.998453,0.001547,1
225,230,2040,0.998715,0.001285,1
230,235,2040,0.998604,0.001396,1
235,240,2040,0.998939,0.001061,1
240,245,2040,0.998968,0.001032,1
245,250,2040,0.99888,0.00112,1
250,255,2040,0.998683,0.001317,1
255,260,2040,0.999162,0.000838,1
260,265,2040,0.999263,0.000737,1
265,270,2040,0.99908,0.00092,1
270,275,2040,0.999217,0.000783,1
275,280,2040,0.998863,0.001137,1
280,285,2040,0.999243,0.000757,1
285,290,2040,0.999147,0.000853,1
290,295,2040,0.999385,0.000615,1
295,300,2040,0.999033,0.000967,1
