run_name,final_lr005_seed0,final_lr005_seed1,final_lr005_seed2,final_lr005_seed3,final_lr005_seed42,final_lr010_seed0,final_lr010_seed1,final_lr010_seed2,final_lr010_seed3,final_lr010_seed42,final_lr020_seed0,final_lr020_seed1,final_lr020_seed2,final_lr020_seed3,final_lr020_seed42
final_lr005_seed0,1.000000,0.963949,0.965559,0.964686,0.964638,0.962998,0.956198,0.961492,0.962579,0.962845,0.951131,0.948227,0.950012,0.944454,0.948199
final_lr005_seed1,0.963949,1.000000,0.963663,0.963265,0.964444,0.959816,0.956266,0.959806,0.959471,0.961181,0.948921,0.947407,0.947370,0.942023,0.947490
final_lr005_seed2,0.965559,0.963663,1.000000,0.964611,0.965525,0.962190,0.956879,0.963170,0.961673,0.962389,0.951978,0.947936,0.949271,0.944196,0.948652
final_lr005_seed3,0.964686,0.963265,0.964611,1.000000,0.964548,0.961429,0.957236,0.960713,0.960607,0.961811,0.949945,0.948022,0.948202,0.943773,0.947791
final_lr005_seed42,0.964638,0.964444,0.965525,0.964548,1.000000,0.961674,0.956981,0.962395,0.960519,0.962719,0.950632,0.947783,0.948296,0.943457,0.948102
final_lr010_seed0,0.962998,0.959816,0.962190,0.961429,0.961674,1.000000,0.955912,0.962448,0.961907,0.963386,0.956154,0.951553,0.952987,0.947692,0.950302
final_lr010_seed1,0.956198,0.956266,0.956879,0.957236,0.956981,0.955912,1.000000,0.957965,0.955063,0.956296,0.949272,0.947612,0.948599,0.942842,0.947811
final_lr010_seed2,0.961492,0.959806,0.963170,0.960713,0.962395,0.962448,0.957965,1.000000,0.961255,0.962624,0.953588,0.951690,0.953115,0.946897,0.949977
final_lr010_seed3,0.962579,0.959471,0.961673,0.960607,0.960519,0.961907,0.955063,0.961255,1.000000,0.962845,0.953840,0.952048,0.952825,0.948378,0.950099
final_lr010_seed42,0.962845,0.961181,0.962389,0.961811,0.962719,0.963386,0.956296,0.962624,0.962845,1.000000,0.955202,0.951728,0.952850,0.948993,0.951457
final_lr020_seed0,0.951131,0.948921,0.951978,0.949945,0.950632,0.956154,0.949272,0.953588,0.953840,0.955202,1.000000,0.952133,0.952961,0.948210,0.950864
final_lr020_seed1,0.948227,0.947407,0.947936,0.948022,0.947783,0.951553,0.947612,0.951690,0.952048,0.951728,0.952133,1.000000,0.952069,0.948804,0.948310
final_lr020_seed2,0.950012,0.947370,0.949271,0.948202,0.948296,0.952987,0.948599,0.953115,0.952825,0.952850,0.952961,0.952069,1.000000,0.948363,0.949488
final_lr020_seed3,0.944454,0.942023,0.944196,0.943773,0.943457,0.947692,0.942842,0.946897,0.948378,0.948993,0.948210,0.948804,0.948363,1.000000,0.944869
final_lr020_seed42,0.948199,0.947490,0.948652,0.947791,0.948102,0.950302,0.947811,0.949977,0.950099,0.951457,0.950864,0.948310,0.949488,0.944869,1.000000
