lr,seed,run_name,probe,delta,threshold_acc,final_network_acc,final_probe_acc,epoch,probe_acc_at_epoch
0.05,0,final_lr005_seed0,Logistic,0.05,0.9017,0.9517,0.9523,22,0.9028
0.05,0,final_lr005_seed0,Logistic,0.02,0.9317,0.9517,0.9523,140,0.9359
0.05,0,final_lr005_seed0,Logistic,0.01,0.9417,0.9517,0.9523,160,0.9475
0.05,0,final_lr005_seed0,Linear SVM,0.05,0.9017,0.9517,0.9512,45,0.9023
0.05,0,final_lr005_seed0,Linear SVM,0.02,0.9317,0.9517,0.9512,140,0.9345
0.05,0,final_lr005_seed0,Linear SVM,0.01,0.9417,0.9517,0.9512,160,0.9472
0.05,0,final_lr005_seed0,RBF SVM,0.05,0.9017,0.9517,0.9535,45,0.9021
0.05,0,final_lr005_seed0,RBF SVM,0.02,0.9317,0.9517,0.9535,140,0.9351
0.05,0,final_lr005_seed0,RBF SVM,0.01,0.9417,0.9517,0.9535,160,0.9469
0.05,1,final_lr005_seed1,Logistic,0.05,0.9014,0.9514,0.9514,22,0.9048
0.05,1,final_lr005_seed1,Logistic,0.02,0.9314,0.9514,0.9514,140,0.933
0.05,1,final_lr005_seed1,Logistic,0.01,0.9414,0.9514,0.9514,160,0.9447
0.05,1,final_lr005_seed1,Linear SVM,0.05,0.9014,0.9514,0.9512,45,0.9049
0.05,1,final_lr005_seed1,Linear SVM,0.02,0.9314,0.9514,0.9512,140,0.9334
0.05,1,final_lr005_seed1,Linear SVM,0.01,0.9414,0.9514,0.9512,160,0.9429
0.05,1,final_lr005_seed1,RBF SVM,0.05,0.9014,0.9514,0.9513,35,0.9031
0.05,1,final_lr005_seed1,RBF SVM,0.02,0.9314,0.9514,0.9513,140,0.9341
0.05,1,final_lr005_seed1,RBF SVM,0.01,0.9414,0.9514,0.9513,160,0.9443
0.05,2,final_lr005_seed2,Logistic,0.05,0.9046,0.9546,0.9545,26,0.9065
0.05,2,final_lr005_seed2,Logistic,0.02,0.9346,0.9546,0.9545,130,0.9349
0.05,2,final_lr005_seed2,Logistic,0.01,0.9446,0.9546,0.9545,160,0.9476
0.05,2,final_lr005_seed2,Linear SVM,0.05,0.9046,0.9546,0.9549,60,0.9084
0.05,2,final_lr005_seed2,Linear SVM,0.02,0.9346,0.9546,0.9549,140,0.936
0.05,2,final_lr005_seed2,Linear SVM,0.01,0.9446,0.9546,0.9549,160,0.9476
0.05,2,final_lr005_seed2,RBF SVM,0.05,0.9046,0.9546,0.9542,60,0.9098
0.05,2,final_lr005_seed2,RBF SVM,0.02,0.9346,0.9546,0.9542,140,0.9379
0.05,2,final_lr005_seed2,RBF SVM,0.01,0.9446,0.9546,0.9542,160,0.9474
0.05,3,final_lr005_seed3,Logistic,0.05,0.9033,0.9533,0.9536,26,0.9049
0.05,3,final_lr005_seed3,Logistic,0.02,0.9333,0.9533,0.9536,140,0.9379
0.05,3,final_lr005_seed3,Logistic,0.01,0.9433,0.9533,0.9536,160,0.9471
0.05,3,final_lr005_seed3,Linear SVM,0.05,0.9033,0.9533,0.953,50,0.9076
0.05,3,final_lr005_seed3,Linear SVM,0.02,0.9333,0.9533,0.953,140,0.9355
0.05,3,final_lr005_seed3,Linear SVM,0.01,0.9433,0.9533,0.953,160,0.9472
0.05,3,final_lr005_seed3,RBF SVM,0.05,0.9033,0.9533,0.954,50,0.9074
0.05,3,final_lr005_seed3,RBF SVM,0.02,0.9333,0.9533,0.954,140,0.9374
0.05,3,final_lr005_seed3,RBF SVM,0.01,0.9433,0.9533,0.954,150,0.9435
0.05,42,final_lr005_seed42,Logistic,0.05,0.9028,0.9528,0.9525,26,0.9067
0.05,42,final_lr005_seed42,Logistic,0.02,0.9328,0.9528,0.9525,140,0.9368
0.05,42,final_lr005_seed42,Logistic,0.01,0.9428,0.9528,0.9525,150,0.943
0.05,42,final_lr005_seed42,Linear SVM,0.05,0.9028,0.9528,0.9519,45,0.9099
0.05,42,final_lr005_seed42,Linear SVM,0.02,0.9328,0.9528,0.9519,140,0.9328
0.05,42,final_lr005_seed42,Linear SVM,0.01,0.9428,0.9528,0.9519,150,0.9428
0.05,42,final_lr005_seed42,RBF SVM,0.05,0.9028,0.9528,0.953,35,0.9036
0.05,42,final_lr005_seed42,RBF SVM,0.02,0.9328,0.9528,0.953,140,0.9359
0.05,42,final_lr005_seed42,RBF SVM,0.01,0.9428,0.9528,0.953,150,0.9438
0.10,0,final_lr010_seed0,Logistic,0.05,0.9081,0.9581,0.9574,80,0.9123
0.10,0,final_lr010_seed0,Logistic,0.02,0.9381,0.9581,0.9574,160,0.941
0.10,0,final_lr010_seed0,Logistic,0.01,0.9481,0.9581,0.9574,170,0.9519
0.10,0,final_lr010_seed0,Linear SVM,0.05,0.9081,0.9581,0.9568,100,0.909
0.10,0,final_lr010_seed0,Linear SVM,0.02,0.9381,0.9581,0.9568,160,0.9393
0.10,0,final_lr010_seed0,Linear SVM,0.01,0.9481,0.9581,0.9568,170,0.9526
0.10,0,final_lr010_seed0,RBF SVM,0.05,0.9081,0.9581,0.9585,100,0.9088
0.10,0,final_lr010_seed0,RBF SVM,0.02,0.9381,0.9581,0.9585,160,0.9403
