epoch,lr,train_loss,train_acc,network_test_acc,local_cka_change,cka_to_final,mean_future_cka,below_tau,nc1,log10_nc1,nc2_etf_deviation,nc3_weight_mean_alignment,nc4_ncm_disagreement,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc,entk_distance_prev,entk_distance_final,mean_future_entk_similarity,entk_within_class_mean,entk_between_class_mean,entk_within_between_ratio,n_subset,per_class_subset_size,bias_included,logistic_gap_to_final,logistic_relative_to_final_network,linear_svm_gap_to_final,linear_svm_relative_to_final_network,rbf_svm_gap_to_final,rbf_svm_relative_to_final_network,rf_gap_to_final,rf_relative_to_final_network,lightgbm_gap_to_final,lightgbm_relative_to_final_network
0,0.05,,,0.1008,,0.06317,0.085368,0,51.15529063,1.708891,1.84561462,1.40685508,0.79182,0.4418,0.3873,0.421,0.3947,,,0.06675218,0.87767292,1242.19870612,0.0,1242198706118499.8,500,50,1,0.5096,0.4643682993483288,0.5639000000000001,0.4070842968257305,0.5303,0.442505780954383,0.5565,0.41486230817742276,,
1,0.05,1.5845767570495606,0.42378,0.5588,0.810942,0.451109,0.564163,0,5.48973817,0.739552,1.44519288,0.56010421,0.22846,0.6579,0.6099,0.6383,0.6306,,0.11294403,0.04107548,0.91794446,60.66810648,0.0,60668106475272.51,500,50,1,0.2935,0.6915072524700442,0.34130000000000005,0.6410552869455539,0.31300000000000006,0.6709060332142106,0.3206,0.6628126970779904,,
2,0.0499969158120415,1.0345764715194703,0.63114,0.6439,0.296676,0.515583,0.641791,0,2.08528854,0.319166,1.2844379,0.60094352,0.23148,0.7483,0.7053,0.7307,0.7248,,0.11199435,0.12159632,0.90364719,64.74020625,0.0,64740206253647.83,500,50,1,0.20310000000000006,0.7865251208745007,0.2459,0.7413285684254782,0.22060000000000002,0.7680260668488543,0.22640000000000005,0.7618246794198024,,
3,0.0499876640091432,0.7869504036331176,0.7251,0.6761,0.220237,0.553322,0.669226,0,1.50890951,0.178663,1.06144054,0.58857518,0.20598,0.7998,0.753,0.7858,0.7816,,0.07244763,0.12679981,0.88999813,59.87643539,0.0,59876435385858.1,500,50,1,0.15160000000000007,0.8406558755518183,0.19820000000000004,0.7914652091654404,0.16549999999999998,0.8259407189405088,0.16960000000000008,0.8215261719571157,,
4,0.0499722468740492,0.652666012210846,0.7725,0.7612,0.191231,0.638025,0.74511,0,0.91987255,-0.036272,0.96812393,0.54735811,0.12946,0.8254,0.786,0.8182,0.8183,,0.06397789,0.10109126,0.92497456,60.99363532,0.0,60993635321477.74,500,50,1,0.126,0.8675635904982132,0.1652,0.8261509354635275,0.1331,0.8599957956695397,0.13290000000000002,0.860100903931049,,
5,0.0499506682107067,0.5776375415992737,0.79958,0.7788,0.122902,0.662689,0.760269,0,0.87620247,-0.057396,0.87077743,0.51216456,0.10336,0.8405,0.8089,0.834,0.8335,,0.0493415,0.06740724,0.93549565,57.12175831,0.0,57121758311575.03,500,50,1,0.1109,0.8834349379861257,0.1423000000000001,0.8502207273491695,0.11730000000000007,0.8766029009880176,0.11770000000000003,0.8760773596804708,,
6,0.0499229333433282,0.5085117203807831,0.82322,0.7537,0.220918,0.590127,0.697594,0,0.85266735,-0.06922,0.96875996,0.62727491,0.15414,0.846,0.8133,0.8315,0.8296,,0.11464873,0.19167071,0.85398837,85.90345065,0.0,85903450652455.02,500,50,1,0.10540000000000005,0.8892158923691401,0.13790000000000002,0.8548454908555813,0.11980000000000002,0.8739751944502838,0.12160000000000004,0.871978137481606,,
7,0.049889049115077,0.4632748952865601,0.84084,0.8182,0.185249,0.688841,0.77787,0,0.65367467,-0.184638,0.80031241,0.54742868,0.12154,0.868,0.8351,0.8614,0.8613,,0.07048481,0.13094806,0.91121401,75.46181267,0.0,75461812671358.03,500,50,1,0.08340000000000003,0.9123397099011982,0.11610000000000009,0.8777590918646205,0.08989999999999998,0.9054025646415809,0.08990000000000009,0.9052974563800714,,
8,0.0498490238863795,0.4260330571937561,0.85378,0.7921,0.135762,0.677847,0.771853,0,0.62744664,-0.202423,0.94094509,0.53141265,0.12336,0.8635,0.8327,0.8508,0.8512,,0.04643901,0.10534134,0.92531228,71.61250464,0.0,71612504637290.42,500,50,1,0.08789999999999998,0.9076098381332773,0.11850000000000005,0.8752364935883961,0.10050000000000003,0.8942610889215892,0.10000000000000009,0.8946815219676266,,
9,0.0498028675328619,0.4009727920150757,0.86166,0.8161,0.154443,0.6918,0.773686,0,0.57549166,-0.239961,0.83124663,0.53177622,0.10556,0.8697,0.8427,0.8623,0.8628,,0.05772251,0.14559946,0.89767414,61.11381138,0.0,61113811382650.56,500,50,1,0.0817,0.9141265503468573,0.10850000000000004,0.8857473197393315,0.08900000000000008,0.906348538995165,0.08840000000000003,0.9068740803027118,,
