epoch,nc1_papyan,log10_nc1_papyan,nc2_etf_deviation,nc3_self_duality_frobenius,nc4_ncc_disagreement,nc1,log10_nc1,nc3_weight_mean_alignment,nc4_ncm_disagreement
0,46.088308,1.663591,1.95053467,1.42801768,0.9362,46.088308,1.663591,1.42801768,0.9362
1,23.03618174,1.36241,1.79464556,0.67122911,0.39788,23.03618174,1.36241,0.67122911,0.39788
2,3.66610461,0.564205,1.35415404,0.63429352,0.27466,3.66610461,0.564205,0.63429352,0.27466
3,1.62308426,0.210341,1.23618392,0.63616266,0.20498,1.62308426,0.210341,0.63616266,0.20498
4,1.42302396,0.153212,1.24021629,0.68047008,0.16582,1.42302396,0.153212,0.68047008,0.16582
5,0.87348829,-0.058743,0.96723369,0.59982604,0.1594,0.87348829,-0.058743,0.59982604,0.1594
6,0.7867432,-0.104167,0.84874603,0.55724517,0.12254,0.7867432,-0.104167,0.55724517,0.12254
7,0.66368759,-0.178036,1.00774528,0.58531294,0.12794,0.66368759,-0.178036,0.58531294,0.12794
8,0.62614595,-0.203324,0.92408338,0.55686073,0.11198,0.62614595,-0.203324,0.55686073,0.11198
9,0.55695825,-0.254177,0.8499343,0.52317048,0.12802,0.55695825,-0.254177,0.52317048,0.12802
10,0.53390788,-0.272534,0.68258251,0.46527697,0.08446,0.53390788,-0.272534,0.46527697,0.08446
11,0.51360892,-0.289367,0.76789141,0.47897611,0.09504,0.51360892,-0.289367,0.47897611,0.09504
12,0.52205153,-0.282287,0.75439599,0.48940543,0.07372,0.52205153,-0.282287,0.48940543,0.07372
13,0.45414508,-0.342805,0.71970588,0.42959125,0.04618,0.45414508,-0.342805,0.42959125,0.04618
14,0.47023998,-0.32768,0.6538686,0.44457218,0.07696,0.47023998,-0.32768,0.44457218,0.07696
15,0.41551525,-0.381413,0.67411912,0.42860815,0.0558,0.41551525,-0.381413,0.42860815,0.0558
16,0.4188735,-0.377917,0.67901599,0.42016845,0.07268,0.4188735,-0.377917,0.42016845,0.07268
17,0.43198272,-0.364534,0.67465308,0.41939889,0.11042,0.43198272,-0.364534,0.41939889,0.11042
18,0.44339237,-0.353212,0.75352545,0.44217071,0.12488,0.44339237,-0.353212,0.44217071,0.12488
19,0.41228986,-0.384797,0.67197779,0.41280329,0.07348,0.41228986,-0.384797,0.41280329,0.07348
20,0.4041661,-0.39344,0.671956,0.38500692,0.04884,0.4041661,-0.39344,0.38500692,0.04884
22,0.38326087,-0.416506,0.57309938,0.35902096,0.03818,0.38326087,-0.416506,0.35902096,0.03818
24,0.375102,-0.425851,0.68574936,0.40052133,0.06416,0.375102,-0.425851,0.40052133,0.06416
26,0.37425839,-0.426828,0.65537805,0.3807201,0.09496,0.37425839,-0.426828,0.3807201,0.09496
28,0.38904334,-0.410002,0.64389161,0.3679355,0.06046,0.38904334,-0.410002,0.3679355,0.06046
30,0.36281139,-0.440319,0.57451061,0.33705392,0.0678,0.36281139,-0.440319,0.33705392,0.0678
35,0.35257573,-0.452748,0.71310986,0.34213623,0.053,0.35257573,-0.452748,0.34213623,0.053
40,0.31438105,-0.502544,0.56844241,0.33235634,0.05064,0.31438105,-0.502544,0.33235634,0.05064
45,0.31010616,-0.50849,0.54137206,0.29594891,0.03874,0.31010616,-0.50849,0.29594891,0.03874
50,0.32339581,-0.490266,0.56417524,0.31935864,0.0733,0.32339581,-0.490266,0.31935864,0.0733
60,0.27071659,-0.567485,0.52308487,0.26792991,0.03088,0.27071659,-0.567485,0.26792991,0.03088
70,0.2434591,-0.613574,0.50265192,0.2556906,0.0177,0.2434591,-0.613574,0.2556906,0.0177
80,0.2691966,-0.56993,0.59928267,0.27645635,0.03294,0.2691966,-0.56993,0.27645635,0.03294
90,0.22616323,-0.645578,0.37565261,0.23821092,0.02102,0.22616323,-0.645578,0.23821092,0.02102
100,0.19457818,-0.710906,0.37263516,0.20930333,0.01732,0.19457818,-0.710906,0.20930333,0.01732
110,0.18232109,-0.739163,0.3442716,0.21693403,0.01174,0.18232109,-0.739163,0.21693403,0.01174
120,0.14266945,-0.845669,0.31726937,0.19006507,0.00646,0.14266945,-0.845669,0.19006507,0.00646
130,0.12649232,-0.897936,0.26798973,0.18480196,0.00474,0.12649232,-0.897936,0.18480196,0.00474
140,0.0894221,-1.048555,0.22500797,0.1788705,0.00238,0.0894221,-1.048555,0.1788705,0.00238
150,0.06234963,-1.205166,0.17346457,0.16515856,0.0005,0.06234963,-1.205166,0.16515856,0.0005
160,0.03270697,-1.48536,0.1658924,0.15918488,2e-05,0.03270697,-1.48536,0.15918488,2e-05
170,0.01905784,-1.719926,0.16826172,0.16050468,0.0,0.01905784,-1.719926,0.16050468,0.0
180,0.01503175,-1.82299,0.17185275,0.16358841,0.0,0.01503175,-1.82299,0.16358841,0.0
190,0.0137629,-1.86129,0.16857047,0.16533574,0.0,0.0137629,-1.86129,0.16533574,0.0
200,0.01366907,-1.864261,0.172789,0.16705495,0.0,0.01366907,-1.864261,0.16705495,0.0
