epoch_prev,epoch_curr,n_samples,cka_value,local_cka_change,below_tau
0,1,2040,0.136084,0.863916,0
1,2,2040,0.704984,0.295016,0
2,3,2040,0.730171,0.269829,0
3,4,2040,0.839286,0.160714,0
4,5,2040,0.857399,0.142601,0
5,6,2040,0.837863,0.162137,0
6,7,2040,0.876645,0.123355,0
7,8,2040,0.902019,0.097981,0
8,9,2040,0.895585,0.104415,0
9,10,2040,0.88285,0.11715,0
10,11,2040,0.909632,0.090368,0
11,12,2040,0.845731,0.154269,0
12,13,2040,0.829406,0.170594,0
13,14,2040,0.876209,0.123791,0
14,15,2040,0.869749,0.130251,0
15,16,2040,0.877313,0.122687,0
16,17,2040,0.862223,0.137777,0
17,18,2040,0.846231,0.153769,0
18,19,2040,0.843241,0.156759,0
19,20,2040,0.782655,0.217345,0
20,22,2040,0.827058,0.172942,0
22,24,2040,0.868489,0.131511,0
24,26,2040,0.856875,0.143125,0
26,28,2040,0.841198,0.158802,0
28,30,2040,0.811434,0.188566,0
30,35,2040,0.778853,0.221147,0
35,40,2040,0.847708,0.152292,0
40,45,2040,0.852088,0.147912,0
45,50,2040,0.845166,0.154834,0
50,60,2040,0.843756,0.156244,0
60,70,2040,0.858345,0.141655,0
70,80,2040,0.820583,0.179417,0
80,90,2040,0.826973,0.173027,0
90,100,2040,0.856283,0.143717,0
100,110,2040,0.871306,0.128694,0
110,120,2040,0.873071,0.126929,0
120,130,2040,0.873622,0.126378,0
130,140,2040,0.883253,0.116747,0
140,150,2040,0.920203,0.079797,0
150,160,2040,0.950535,0.049465,0
160,170,2040,0.984137,0.015863,1
170,180,2040,0.995994,0.004006,1
180,190,2040,0.998049,0.001951,1
190,200,2040,0.999448,0.000552,1
