epoch,probe_name,train_acc,test_acc,n_train,n_test,fit_seconds,status,error_message
0,logistic_regression,0.46598,0.442,50000,10000,59.187,ok,
0,linear_svm,0.5284,0.3846,10000,10000,35.908,ok,
0,rbf_svm,0.4962,0.3862,10000,10000,21.128,ok,
0,random_forest,1.0,0.3791,50000,10000,3.407,ok,
1,logistic_regression,0.69146,0.6475,50000,10000,28.369,ok,
1,linear_svm,0.7426,0.6102,10000,10000,26.956,ok,
1,rbf_svm,0.6913,0.6285,10000,10000,6.815,ok,
1,random_forest,1.0,0.6199,50000,10000,4.09,ok,
2,logistic_regression,0.79134,0.7479,50000,10000,29.461,ok,
2,linear_svm,0.8416,0.7017,10000,10000,17.889,ok,
2,rbf_svm,0.792,0.7311,10000,10000,4.906,ok,
2,random_forest,1.0,0.7284,50000,10000,4.284,ok,
3,logistic_regression,0.8399,0.7995,50000,10000,20.575,ok,
3,linear_svm,0.8968,0.7561,10000,10000,15.996,ok,
3,rbf_svm,0.8322,0.7862,10000,10000,3.619,ok,
3,random_forest,1.0,0.7827,50000,10000,4.083,ok,
4,logistic_regression,0.86786,0.826,50000,10000,17.206,ok,
4,linear_svm,0.9218,0.7814,10000,10000,13.493,ok,
4,rbf_svm,0.8578,0.8112,10000,10000,2.831,ok,
4,random_forest,1.0,0.8105,50000,10000,4.121,ok,
5,logistic_regression,0.88916,0.8406,50000,10000,23.627,ok,
5,linear_svm,0.9405,0.8017,10000,10000,11.807,ok,
5,rbf_svm,0.8769,0.8358,10000,10000,2.96,ok,
5,random_forest,1.0,0.8321,50000,10000,4.577,ok,
6,logistic_regression,0.90216,0.8529,50000,10000,21.687,ok,
6,linear_svm,0.9556,0.817,10000,10000,16.85,ok,
6,rbf_svm,0.888,0.8456,10000,10000,2.368,ok,
6,random_forest,1.0,0.8463,50000,10000,4.286,ok,
7,logistic_regression,0.91588,0.8616,50000,10000,20.137,ok,
7,linear_svm,0.9679,0.8332,10000,10000,10.556,ok,
7,rbf_svm,0.904,0.858,10000,10000,2.111,ok,
7,random_forest,1.0,0.8587,50000,10000,4.496,ok,
8,logistic_regression,0.92638,0.8717,50000,10000,21.735,ok,
8,linear_svm,0.9744,0.8397,10000,10000,9.242,ok,
8,rbf_svm,0.9088,0.8638,10000,10000,2.041,ok,
8,random_forest,1.0,0.8647,50000,10000,4.21,ok,
9,logistic_regression,0.9303,0.8779,50000,10000,17.73,ok,
9,linear_svm,0.9742,0.844,10000,10000,9.088,ok,
9,rbf_svm,0.9133,0.8665,10000,10000,2.18,ok,
9,random_forest,1.0,0.8697,50000,10000,4.47,ok,
10,logistic_regression,0.9356,0.8794,50000,10000,19.502,ok,
10,linear_svm,0.978,0.8547,10000,10000,8.463,ok,
10,rbf_svm,0.9183,0.8735,10000,10000,1.758,ok,
10,random_forest,1.0,0.8738,50000,10000,4.538,ok,
11,logistic_regression,0.93682,0.8791,50000,10000,18.997,ok,
11,linear_svm,0.9798,0.855,10000,10000,12.147,ok,
