run_name,lr,seed,epoch,component,probe,train_acc,test_acc,k_main,threshold_mode,threshold_value
final_lr005_seed42,0.05,42,0,full,logistic_regression,0.4664,0.44,232,singular_mass,0.8
final_lr005_seed42,0.05,42,0,main,logistic_regression,0.42718,0.4207,232,singular_mass,0.8
final_lr005_seed42,0.05,42,0,residual,logistic_regression,0.19656,0.1775,232,singular_mass,0.8
final_lr005_seed42,0.05,42,1,full,logistic_regression,0.69174,0.6476,240,singular_mass,0.8
final_lr005_seed42,0.05,42,1,main,logistic_regression,0.66614,0.6424,240,singular_mass,0.8
final_lr005_seed42,0.05,42,1,residual,logistic_regression,0.1922,0.1683,240,singular_mass,0.8
final_lr005_seed42,0.05,42,2,full,logistic_regression,0.79178,0.7479,228,singular_mass,0.8
final_lr005_seed42,0.05,42,2,main,logistic_regression,0.77052,0.7472,228,singular_mass,0.8
final_lr005_seed42,0.05,42,2,residual,logistic_regression,0.18918,0.1698,228,singular_mass,0.8
final_lr005_seed42,0.05,42,3,full,logistic_regression,0.8398,0.7989,234,singular_mass,0.8
final_lr005_seed42,0.05,42,3,main,logistic_regression,0.823,0.8036,234,singular_mass,0.8
final_lr005_seed42,0.05,42,3,residual,logistic_regression,0.19592,0.1865,234,singular_mass,0.8
final_lr005_seed42,0.05,42,4,full,logistic_regression,0.86876,0.8237,226,singular_mass,0.8
final_lr005_seed42,0.05,42,4,main,logistic_regression,0.85246,0.8218,226,singular_mass,0.8
final_lr005_seed42,0.05,42,4,residual,logistic_regression,0.19858,0.1817,226,singular_mass,0.8
final_lr005_seed42,0.05,42,5,full,logistic_regression,0.8899,0.8377,220,singular_mass,0.8
final_lr005_seed42,0.05,42,5,main,logistic_regression,0.87484,0.8432,220,singular_mass,0.8
final_lr005_seed42,0.05,42,5,residual,logistic_regression,0.20718,0.1898,220,singular_mass,0.8
final_lr005_seed42,0.05,42,6,full,logistic_regression,0.90372,0.8504,216,singular_mass,0.8
final_lr005_seed42,0.05,42,6,main,logistic_regression,0.8891,0.8568,216,singular_mass,0.8
final_lr005_seed42,0.05,42,6,residual,logistic_regression,0.21582,0.1977,216,singular_mass,0.8
final_lr005_seed42,0.05,42,7,full,logistic_regression,0.91838,0.8574,209,singular_mass,0.8
final_lr005_seed42,0.05,42,7,main,logistic_regression,0.90314,0.8642,209,singular_mass,0.8
final_lr005_seed42,0.05,42,7,residual,logistic_regression,0.22878,0.2136,209,singular_mass,0.8
final_lr005_seed42,0.05,42,8,full,logistic_regression,0.9275,0.8662,206,singular_mass,0.8
final_lr005_seed42,0.05,42,8,main,logistic_regression,0.91274,0.8709,206,singular_mass,0.8
final_lr005_seed42,0.05,42,8,residual,logistic_regression,0.22512,0.2163,206,singular_mass,0.8
final_lr005_seed42,0.05,42,9,full,logistic_regression,0.93244,0.8715,206,singular_mass,0.8
final_lr005_seed42,0.05,42,9,main,logistic_regression,0.91788,0.8767,206,singular_mass,0.8
final_lr005_seed42,0.05,42,9,residual,logistic_regression,0.22788,0.2161,206,singular_mass,0.8
final_lr005_seed42,0.05,42,10,full,logistic_regression,0.93824,0.871,200,singular_mass,0.8
final_lr005_seed42,0.05,42,10,main,logistic_regression,0.92224,0.8783,200,singular_mass,0.8
final_lr005_seed42,0.05,42,10,residual,logistic_regression,0.23076,0.2145,200,singular_mass,0.8
