epoch,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc
0,0.4361,0.3852,nan,nan,nan
1,0.6074,0.5679,nan,nan,nan
2,0.7166,0.6736,nan,nan,nan
3,0.7931,0.7482,nan,nan,nan
4,0.811,0.7734,nan,nan,nan
5,0.8352,0.7991,nan,nan,nan
6,0.854,0.8204,nan,nan,nan
7,0.8581,0.8293,nan,nan,nan
8,0.8675,0.8408,nan,nan,nan
9,0.8651,0.8398,nan,nan,nan
10,0.8754,0.8506,nan,nan,nan
11,0.8841,0.8596,nan,nan,nan
12,0.887,0.8636,nan,nan,nan
13,0.8886,0.8676,nan,nan,nan
14,0.8899,0.868,nan,nan,nan
15,0.8887,0.8712,nan,nan,nan
16,0.8973,0.8745,nan,nan,nan
17,0.8947,0.8771,nan,nan,nan
18,0.8936,0.8748,nan,nan,nan
19,0.9027,0.8827,nan,nan,nan
20,0.8962,0.8742,nan,nan,nan
22,0.8967,0.8809,nan,nan,nan
24,0.9081,0.8951,nan,nan,nan
26,0.9023,0.8916,nan,nan,nan
28,0.9026,0.8895,nan,nan,nan
30,0.9103,0.8977,nan,nan,nan
35,0.9106,0.8969,nan,nan,nan
40,0.909,0.8955,nan,nan,nan
45,0.9139,0.9048,nan,nan,nan
50,0.911,0.8993,nan,nan,nan
60,0.9158,0.9051,nan,nan,nan
70,0.9185,0.9095,nan,nan,nan
80,0.9205,0.9115,nan,nan,nan
90,0.9206,0.9137,nan,nan,nan
100,0.925,0.9155,nan,nan,nan
110,0.929,0.9261,nan,nan,nan
120,0.9328,0.9285,nan,nan,nan
130,0.9299,0.9278,nan,nan,nan
135,0.9333,0.9287,nan,nan,nan
140,0.9355,0.9342,nan,nan,nan
145,0.9401,0.9399,nan,nan,nan
150,0.9388,0.9376,nan,nan,nan
155,0.9384,0.9368,nan,nan,nan
160,0.9451,0.9442,nan,nan,nan
165,0.9495,0.9477,nan,nan,nan
170,0.9522,0.9515,nan,nan,nan
175,0.9537,0.9516,nan,nan,nan
180,0.9551,0.9538,nan,nan,nan
185,0.9543,0.953,nan,nan,nan
190,0.9546,0.9527,nan,nan,nan
195,0.9547,0.9534,nan,nan,nan
200,0.9546,0.9532,nan,nan,nan
