epoch,n_samples,local_cka_change,cka_to_final,mean_future_cka,below_tau
0,2040,nan,0.040912,0.056703,0
1,2040,0.865171,0.344841,0.454888,0
2,2040,0.294882,0.468886,0.59537,0
3,2040,0.189749,0.529841,0.652338,0
4,2040,0.249983,0.565496,0.694737,0
5,2040,0.239933,0.614678,0.719439,0
6,2040,0.183749,0.646745,0.759015,0
7,2040,0.113373,0.673408,0.780687,0
8,2040,0.148294,0.629204,0.731541,0
9,2040,0.277891,0.65744,0.738666,0
10,2040,0.189337,0.682264,0.754017,0
11,2040,0.206224,0.691698,0.770939,0
12,2040,0.200829,0.673576,0.75819,0
13,2040,0.216921,0.692373,0.774888,0
14,2040,0.157969,0.716918,0.7822,0
15,2040,0.217695,0.658389,0.712021,0
16,2040,0.226712,0.719499,0.779824,0
17,2040,0.171275,0.719036,0.786289,0
18,2040,0.195,0.712237,0.771223,0
19,2040,0.188044,0.706296,0.771503,0
20,2040,0.208831,0.710453,0.764603,0
22,2040,0.197202,0.69407,0.755007,0
24,2040,0.217849,0.715027,0.765088,0
26,2040,0.203943,0.71555,0.764842,0
28,2040,0.231741,0.740554,0.785784,0
30,2040,0.161533,0.759933,0.802096,0
35,2040,0.152811,0.745634,0.78538,0
40,2040,0.161594,0.740671,0.779908,0
45,2040,0.148682,0.734121,0.764256,0
50,2040,0.159569,0.776308,0.801902,0
60,2040,0.18157,0.768017,0.790784,0
70,2040,0.190373,0.765505,0.782349,0
80,2040,0.181188,0.800079,0.810897,0
90,2040,0.158473,0.800637,0.816748,0
100,2040,0.144111,0.826656,0.835723,0
110,2040,0.146905,0.837262,0.840637,0
120,2040,0.129602,0.856208,0.852736,0
130,2040,0.143636,0.859924,0.853754,0
140,2040,0.14728,0.891542,0.884303,0
150,2040,0.132797,0.893223,0.890174,0
160,2040,0.117338,0.936143,0.935272,0
170,2040,0.065572,0.982703,0.983179,0
180,2040,0.016444,0.997082,0.997315,1
190,2040,0.002452,0.99924,0.99924,1
200,2040,0.00076,1.0,nan,1
