epoch_prev,epoch_curr,n_samples,cka_value,local_cka_change,below_tau
0,1,2040,0.134829,0.865171,0
1,2,2040,0.705118,0.294882,0
2,3,2040,0.810251,0.189749,0
3,4,2040,0.750017,0.249983,0
4,5,2040,0.760067,0.239933,0
5,6,2040,0.816251,0.183749,0
6,7,2040,0.886627,0.113373,0
7,8,2040,0.851706,0.148294,0
8,9,2040,0.722109,0.277891,0
9,10,2040,0.810663,0.189337,0
10,11,2040,0.793776,0.206224,0
11,12,2040,0.799171,0.200829,0
12,13,2040,0.783079,0.216921,0
13,14,2040,0.842031,0.157969,0
14,15,2040,0.782305,0.217695,0
15,16,2040,0.773288,0.226712,0
16,17,2040,0.828725,0.171275,0
17,18,2040,0.805,0.195,0
18,19,2040,0.811956,0.188044,0
19,20,2040,0.791169,0.208831,0
20,22,2040,0.802798,0.197202,0
22,24,2040,0.782151,0.217849,0
24,26,2040,0.796057,0.203943,0
26,28,2040,0.768259,0.231741,0
28,30,2040,0.838467,0.161533,0
30,35,2040,0.847189,0.152811,0
35,40,2040,0.838406,0.161594,0
40,45,2040,0.851318,0.148682,0
45,50,2040,0.840431,0.159569,0
50,60,2040,0.81843,0.18157,0
60,70,2040,0.809627,0.190373,0
70,80,2040,0.818812,0.181188,0
80,90,2040,0.841527,0.158473,0
90,100,2040,0.855889,0.144111,0
100,110,2040,0.853095,0.146905,0
110,120,2040,0.870398,0.129602,0
120,130,2040,0.856364,0.143636,0
130,140,2040,0.85272,0.14728,0
140,150,2040,0.867203,0.132797,0
150,160,2040,0.882662,0.117338,0
160,170,2040,0.934428,0.065572,0
170,180,2040,0.983556,0.016444,1
180,190,2040,0.997548,0.002452,1
190,200,2040,0.99924,0.00076,1
