epoch,lr,train_loss,train_acc,network_test_acc,local_cka_change,cka_to_final,mean_future_cka,below_tau,nc1,log10_nc1,nc2_etf_deviation,nc3_weight_mean_alignment,nc4_ncm_disagreement,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc,entk_distance_prev,entk_distance_final,mean_future_entk_similarity,entk_within_class_mean,entk_between_class_mean,entk_within_between_ratio,n_subset,per_class_subset_size,bias_included,logistic_gap_to_final,logistic_relative_to_final_network,linear_svm_gap_to_final,linear_svm_relative_to_final_network,rbf_svm_gap_to_final,rbf_svm_relative_to_final_network,rf_gap_to_final,rf_relative_to_final_network,lightgbm_gap_to_final,lightgbm_relative_to_final_network
0,0.1,,,0.1012,,0.062162,0.088089,0,46.088308,1.663591,1.95053467,1.42801768,0.9362,0.4346,0.3877,0.4099,0.3806,,,0.09085615,0.8485967,1665.81396486,0.0,1665813964857850.5,500,50,1,0.5216000000000001,0.45469763548859593,0.5673999999999999,0.40562879263444235,0.5470999999999999,0.4288554090813978,0.5753999999999999,0.398200460347353,,
1,0.1,1.840035430297852,0.324,0.4493,0.803148,0.369865,0.481725,0,36.10748237,1.557597,1.60120525,0.67947936,0.2634,0.5716,0.5334,0.5287,0.532,,0.19548628,0.07464743,0.87104577,13.52277599,0.0,13522775991602.623,500,50,1,0.38460000000000005,0.5980330613098975,0.42169999999999996,0.5580665411173885,0.4283,0.5531491943921322,0.42399999999999993,0.5566017995396527,,
2,0.099993831624083,1.307180432662964,0.52178,0.5868,0.32186,0.503354,0.631933,0,4.02677303,0.604957,1.45937556,0.59975786,0.27446,0.6759,0.6414,0.6486,0.651,,0.10441861,0.09836764,0.90526744,17.68145336,0.0,17681453362823.133,500,50,1,0.2803000000000001,0.707156308851224,0.3137,0.6710608913998745,0.3084,0.6785938480853735,0.30499999999999994,0.6811048336472065,,
3,0.0999753280182865,0.9993636087417602,0.64456,0.6492,0.18028,0.559264,0.691181,0,2.14162612,0.330744,1.37866794,0.60465136,0.20784,0.7371,0.6985,0.7252,0.7239,,0.04927895,0.08355054,0.91534003,22.24663646,0.0,22246636463126.33,500,50,1,0.21910000000000007,0.771186440677966,0.25659999999999994,0.7308014228918184,0.2318,0.7587361372672107,0.23209999999999997,0.7573760200878845,,
4,0.0999444937480985,0.8283904666900634,0.70886,0.7387,0.163591,0.620184,0.727519,0,1.26466912,0.101977,1.03074028,0.5856553,0.12592,0.7894,0.7475,0.7732,0.7748,,0.05309643,0.11782773,0.89881791,21.72947628,0.0,21729476277830.96,500,50,1,0.16680000000000006,0.825905001046244,0.2075999999999999,0.7820673781125759,0.18379999999999996,0.8089558485038711,0.18119999999999992,0.8106298388784265,,
5,0.0999013364214135,0.7069990432167054,0.75166,0.7033,0.162283,0.629418,0.735716,0,1.04696883,0.019934,1.04229375,0.58430503,0.17544,0.8169,0.7764,0.7996,0.7985,,0.07608998,0.12839899,0.90384628,24.48459359,0.0,24484593592280.625,500,50,1,0.1393000000000001,0.8546767106089139,0.17869999999999997,0.8123038292529818,0.15739999999999998,0.8365766896840343,0.15749999999999997,0.8354258213015275,,
6,0.0998458666866564,0.6122523612880707,0.7877,0.7742,0.163286,0.664675,0.7664,0,0.77236271,-0.112179,0.91620347,0.53605478,0.10462,0.8306,0.7976,0.8228,0.8198,,0.05834809,0.1239811,0.91374076,23.65403954,0.0,23654039541094.07,500,50,1,0.12560000000000004,0.8690102531910442,0.15749999999999997,0.8344842017158401,0.13419999999999999,0.8608495501150868,0.1362,0.8577108181627956,,
7,0.099778098230154,0.5577634416007996,0.80848,0.7655,0.147786,0.674646,0.763656,0,0.77661152,-0.109796,0.96965359,0.52328028,0.15426,0.8467,0.8075,0.8373,0.8354,,0.05120283,0.11295382,0.91542439,26.90921177,0.0,26909211765345.336,500,50,1,0.10950000000000004,0.8858547813350074,0.14759999999999995,0.8448420171584013,0.11969999999999992,0.8760200878844947,0.12059999999999993,0.8740322243147103,,
8,0.099698047772759,0.52910988986969,0.81852,0.7673,0.17623,0.663939,0.753659,0,0.6993156,-0.155327,0.84944504,0.51873322,0.1523,0.8508,0.8164,0.8377,0.8343,,0.06152014,0.11247449,0.91033757,23.32786477,0.0,23327864773441.56,500,50,1,0.10540000000000005,0.8901443816698054,0.13869999999999993,0.8541535886168655,0.11929999999999996,0.8764385854781335,0.12169999999999992,0.8728813559322034,,
9,0.0996057350657239,0.5059527510643005,0.82758,0.7491,0.210476,0.653242,0.739604,0,0.68229232,-0.16603,0.92406409,0.51487014,0.19056,0.8543,0.8253,0.8393,0.8389,,0.09148346,0.11134498,0.89801706,20.66058053,0.0,20660580530525.45,500,50,1,0.1019000000000001,0.8938062356141452,0.12979999999999992,0.8634651600753296,0.11769999999999992,0.8781125758526889,0.11709999999999998,0.87769407825905,,
