epoch,probe_name,train_acc,test_acc,n_train,n_test,fit_seconds,status,error_message
0,logistic_regression,0.46646,0.4346,50000,10000,7.139,ok,
0,linear_svm,0.532,0.3877,10000,10000,15.0,ok,
0,rbf_svm,0.5576,0.4099,10000,10000,6.916,ok,
0,random_forest,1.0,0.3806,50000,10000,2.318,ok,
1,logistic_regression,0.60306,0.5716,50000,10000,7.922,ok,
1,linear_svm,0.6581,0.5334,10000,10000,25.179,ok,
1,rbf_svm,0.5934,0.5287,10000,10000,4.065,ok,
1,random_forest,1.0,0.532,50000,10000,2.37,ok,
2,logistic_regression,0.7217,0.6759,50000,10000,5.968,ok,
2,linear_svm,0.7682,0.6414,10000,10000,12.271,ok,
2,rbf_svm,0.7208,0.6486,10000,10000,2.833,ok,
2,random_forest,1.0,0.651,50000,10000,2.433,ok,
3,logistic_regression,0.78308,0.7371,50000,10000,5.396,ok,
3,linear_svm,0.8396,0.6985,10000,10000,9.61,ok,
3,rbf_svm,0.7763,0.7252,10000,10000,2.213,ok,
3,random_forest,1.0,0.7239,50000,10000,2.359,ok,
4,logistic_regression,0.82908,0.7894,50000,10000,5.067,ok,
4,linear_svm,0.8837,0.7475,10000,10000,7.882,ok,
4,rbf_svm,0.8164,0.7732,10000,10000,1.843,ok,
4,random_forest,1.0,0.7748,50000,10000,2.468,ok,
5,logistic_regression,0.85312,0.8169,50000,10000,5.215,ok,
5,linear_svm,0.9077,0.7764,10000,10000,6.909,ok,
5,rbf_svm,0.8364,0.7996,10000,10000,1.713,ok,
5,random_forest,1.0,0.7985,50000,10000,2.612,ok,
6,logistic_regression,0.87764,0.8306,50000,10000,4.754,ok,
6,linear_svm,0.9308,0.7976,10000,10000,5.923,ok,
6,rbf_svm,0.8625,0.8228,10000,10000,1.417,ok,
6,random_forest,1.0,0.8198,50000,10000,2.534,ok,
7,logistic_regression,0.8891,0.8467,50000,10000,3.87,ok,
7,linear_svm,0.941,0.8075,10000,10000,5.451,ok,
7,rbf_svm,0.8751,0.8373,10000,10000,1.3,ok,
7,random_forest,1.0,0.8354,50000,10000,2.71,ok,
8,logistic_regression,0.89352,0.8508,50000,10000,3.567,ok,
8,linear_svm,0.9431,0.8164,10000,10000,5.471,ok,
8,rbf_svm,0.8792,0.8377,10000,10000,1.349,ok,
8,random_forest,1.0,0.8343,50000,10000,2.623,ok,
9,logistic_regression,0.90088,0.8543,50000,10000,4.338,ok,
9,linear_svm,0.9487,0.8253,10000,10000,5.417,ok,
9,rbf_svm,0.8797,0.8393,10000,10000,1.25,ok,
9,random_forest,1.0,0.8389,50000,10000,2.602,ok,
10,logistic_regression,0.90246,0.8595,50000,10000,3.211,ok,
