epoch_a,epoch_b,n_samples,cka_value
0,0,2040,1.0
0,1,2040,0.162667
0,2,2040,0.176257
0,3,2040,0.15288
0,4,2040,0.135973
0,5,2040,0.131438
0,6,2040,0.123362
0,7,2040,0.138314
0,8,2040,0.096636
0,9,2040,0.110686
0,10,2040,0.072447
0,11,2040,0.120346
0,12,2040,0.087058
0,13,2040,0.126774
0,14,2040,0.097922
0,15,2040,0.09455
0,16,2040,0.105056
0,17,2040,0.087066
0,18,2040,0.090522
0,19,2040,0.106464
0,20,2040,0.099216
0,22,2040,0.076058
0,24,2040,0.081201
0,26,2040,0.085179
0,28,2040,0.083219
0,30,2040,0.063588
0,35,2040,0.066839
0,40,2040,0.084177
0,45,2040,0.093049
0,50,2040,0.093135
0,60,2040,0.079661
0,70,2040,0.087682
0,80,2040,0.075818
0,90,2040,0.078309
0,100,2040,0.084109
0,110,2040,0.086335
0,120,2040,0.086005
0,130,2040,0.078354
0,140,2040,0.085902
0,150,2040,0.072798
0,160,2040,0.068826
0,170,2040,0.067112
0,180,2040,0.065068
0,190,2040,0.066392
0,200,2040,0.066138
1,1,2040,1.0
1,2,2040,0.64203
1,3,2040,0.552163
1,4,2040,0.596391
1,5,2040,0.544261
1,6,2040,0.506067
1,7,2040,0.498768
1,8,2040,0.424584
1,9,2040,0.452725
1,10,2040,0.359779
1,11,2040,0.4568
1,12,2040,0.425564
1,13,2040,0.473563
1,14,2040,0.451983
1,15,2040,0.427241
1,16,2040,0.470123
1,17,2040,0.410395
1,18,2040,0.407431
1,19,2040,0.416888
1,20,2040,0.440609
1,22,2040,0.421683
1,24,2040,0.410455
1,26,2040,0.40873
1,28,2040,0.399394
1,30,2040,0.331965
1,35,2040,0.377955
1,40,2040,0.375295
1,45,2040,0.401569
1,50,2040,0.383969
1,60,2040,0.398844
1,70,2040,0.371518
1,80,2040,0.369824
1,90,2040,0.369531
1,100,2040,0.367006
1,110,2040,0.396533
1,120,2040,0.362402
1,130,2040,0.329943
1,140,2040,0.343472
1,150,2040,0.334945
1,160,2040,0.310697
1,170,2040,0.30784
1,180,2040,0.309558
1,190,2040,0.310769
1,200,2040,0.312404
2,2,2040,1.0
2,3,2040,0.798374
2,4,2040,0.74487
2,5,2040,0.761358
2,6,2040,0.704716
2,7,2040,0.715997
2,8,2040,0.61304
2,9,2040,0.652449
2,10,2040,0.569234
2,11,2040,0.64901
2,12,2040,0.643879
2,13,2040,0.657768
2,14,2040,0.6484
2,15,2040,0.631404
2,16,2040,0.637007
2,17,2040,0.599695
2,18,2040,0.609183
2,19,2040,0.607064
2,20,2040,0.614285
2,22,2040,0.607179
2,24,2040,0.613871
2,26,2040,0.607579
2,28,2040,0.586194
2,30,2040,0.509752
2,35,2040,0.553232
2,40,2040,0.568286
2,45,2040,0.616016
2,50,2040,0.574238
2,60,2040,0.561364
2,70,2040,0.553213
2,80,2040,0.567359
2,90,2040,0.538433
2,100,2040,0.54713
2,110,2040,0.56445
2,120,2040,0.522228
2,130,2040,0.481933
2,140,2040,0.510359
2,150,2040,0.475477
2,160,2040,0.460043
2,170,2040,0.460414
2,180,2040,0.463294
2,190,2040,0.465765
2,200,2040,0.467335
3,3,2040,1.0
3,4,2040,0.760821
3,5,2040,0.801798
3,6,2040,0.770749
3,7,2040,0.800772
3,8,2040,0.676461
3,9,2040,0.737563
3,10,2040,0.708717
3,11,2040,0.717477
3,12,2040,0.712711
3,13,2040,0.674916
3,14,2040,0.685688
3,15,2040,0.722872
3,16,2040,0.666946
3,17,2040,0.706451
3,18,2040,0.674455
3,19,2040,0.654709
3,20,2040,0.644382
3,22,2040,0.671476
3,24,2040,0.690645
3,26,2040,0.656278
3,28,2040,0.635436
3,30,2040,0.648902
3,35,2040,0.576065
3,40,2040,0.631909
3,45,2040,0.67979
