epoch,entk_distance_prev,entk_distance_final,mean_future_entk_similarity,entk_within_class_mean,entk_between_class_mean,entk_within_between_ratio,n_subset,per_class_subset_size,bias_included
0,nan,0.14303236,0.80050802,1954.44868892,0.0,1954448688916641.2,500,50,1
1,0.2840077,0.21306209,0.76764792,14.09788372,0.0,14097883723173.838,500,50,1
2,0.17068779,0.09942688,0.90441677,14.48117359,0.0,14481173594378.922,500,50,1
3,0.06435781,0.17877661,0.86519793,20.53882892,0.0,20538828923648.043,500,50,1
4,0.09839456,0.11958054,0.8945006,23.45475408,0.0,23454754075467.316,500,50,1
5,0.04407148,0.12745233,0.91000892,21.41055681,0.0,21410556814649.066,500,50,1
6,0.0360727,0.12059876,0.91151107,20.70332381,0.0,20703323808674.617,500,50,1
7,0.0484922,0.14001033,0.90453681,23.59711115,0.0,23597111152674.01,500,50,1
8,0.07078626,0.13844463,0.9016294,22.42971682,0.0,22429716816048.633,500,50,1
9,0.06375594,0.12482189,0.91350062,18.79717201,0.0,18797172011751.39,500,50,1
10,0.09590911,0.23661705,0.82486193,22.99656992,0.0,22996569919517.516,500,50,1
11,0.11052283,0.12732831,0.90390056,24.84314588,0.0,24843145876229.97,500,50,1
12,0.07990536,0.12210638,0.90707096,24.3250949,0.0,24325094897689.594,500,50,1
13,0.12464803,0.15345142,0.88226855,22.13199861,0.0,22131998614628.38,500,50,1
14,0.05245518,0.14489309,0.88754686,26.71512625,0.0,26715126252785.76,500,50,1
15,0.09616635,0.16545726,0.86433521,24.01373006,0.0,24013730060932.938,500,50,1
16,0.13112644,0.11138176,0.91201189,25.64679041,0.0,25646790405127.64,500,50,1
17,0.09293641,0.13456072,0.89848193,23.21778637,0.0,23217786373627.12,500,50,1
18,0.05743653,0.10450503,0.91650976,26.88502567,0.0,26885025671406.594,500,50,1
19,0.08133013,0.11808746,0.90456934,25.74325696,0.0,25743256961721.527,500,50,1
20,0.10243148,0.15915144,0.87912929,30.35284645,0.0,30352846453785.195,500,50,1
22,0.09832122,0.13013709,0.90011397,27.76268855,0.0,27762688545583.613,500,50,1
24,0.06693195,0.11898263,0.90041657,28.63072958,0.0,28630729582029.656,500,50,1
26,0.0671956,0.09141306,0.91533263,28.25397576,0.0,28253975758127.477,500,50,1
28,0.06961286,0.11805592,0.90499465,27.79625993,0.0,27796259930642.63,500,50,1
30,0.13429004,0.15422875,0.86163296,26.24533069,0.0,26245330692759.477,500,50,1
35,0.16070439,0.13509902,0.8910371,29.37865994,0.0,29378659943376.773,500,50,1
40,0.12864919,0.14309127,0.88004747,31.63611655,0.0,31636116545029.234,500,50,1
45,0.10452711,0.09889242,0.92320664,28.01540935,0.0,28015409346145.094,500,50,1
50,0.08337245,0.12036433,0.89070959,30.40481486,0.0,30404814860377.18,500,50,1
60,0.09838197,0.10402186,0.91998593,28.87687159,0.0,28876871592845.15,500,50,1
70,0.05333607,0.09734567,0.92105198,31.87970375,0.0,31879703747459.336,500,50,1
80,0.08855107,0.09903559,0.91516899,34.19817615,0.0,34198176152457.215,500,50,1
90,0.05551839,0.1093359,0.90476286,34.92398759,0.0,34923987593058.074,500,50,1
100,0.06779344,0.0736933,0.93198266,34.99797817,0.0,34997978170010.754,500,50,1
110,0.0597261,0.06805227,0.94337852,38.35383841,0.0,38353838413732.64,500,50,1
120,0.0317492,0.0623322,0.94429402,36.68928519,0.0,36689285188214.72,500,50,1
130,0.0374712,0.04392504,0.95824696,37.21316375,0.0,37213163753504.83,500,50,1
140,0.03426399,0.03108378,0.96940031,38.09574769,0.0,38095747690956.164,500,50,1
150,0.02497707,0.01884235,0.98099569,37.6367877,0.0,37636787703218.05,500,50,1
160,0.01683631,0.01205067,0.9877942,34.71209961,0.0,34712099608847.895,500,50,1
170,0.01240076,0.00287699,0.99729263,34.01281018,0.0,34012810176778.46,500,50,1
180,0.00273616,0.00060283,0.99906519,33.52153146,0.0,33521531456177.5,500,50,1
190,0.00126679,0.00068262,0.99931738,33.27911725,0.0,33279117245962.375,500,50,1
200,0.00068262,-0.0,nan,33.10369704,0.0,33103697044985.445,500,50,1
