epoch,nc1_papyan,log10_nc1_papyan,nc2_etf_deviation,nc3_self_duality_frobenius,nc4_ncc_disagreement,nc1,log10_nc1,nc3_weight_mean_alignment,nc4_ncm_disagreement
0,48.91915987,1.689479,1.94738965,1.40724355,0.96476,48.91915987,1.689479,1.40724355,0.96476
1,205.0828084,2.311929,2.3499705,1.10579449,0.4948,205.0828084,2.311929,1.10579449,0.4948
2,23.36139853,1.368499,1.66108392,0.86920454,0.37402,23.36139853,1.368499,0.86920454,0.37402
3,5.05402222,0.703637,1.33499394,0.73019336,0.2891,5.05402222,0.703637,0.73019336,0.2891
4,2.68095828,0.42829,1.35318955,0.68626155,0.34548,2.68095828,0.42829,0.68626155,0.34548
5,1.37221597,0.137422,1.24433031,0.59808989,0.2435,1.37221597,0.137422,0.59808989,0.2435
6,1.13548141,0.05518,1.04660962,0.55622612,0.22022,1.13548141,0.05518,0.55622612,0.22022
7,1.14706131,0.059587,1.03595079,0.55372169,0.18764,1.14706131,0.059587,0.55372169,0.18764
8,0.88605363,-0.05254,0.85371144,0.51753153,0.15314,0.88605363,-0.05254,0.51753153,0.15314
9,1.1159387,0.04764,1.04612885,0.55216316,0.26032,1.1159387,0.04764,0.55216316,0.26032
10,1.04861812,0.020617,1.09435316,0.61067696,0.38162,1.04861812,0.020617,0.61067696,0.38162
11,0.75413978,-0.122548,0.93443621,0.48674649,0.13734,0.75413978,-0.122548,0.48674649,0.13734
12,0.78437691,-0.105475,0.8672827,0.47137572,0.13166,0.78437691,-0.105475,0.47137572,0.13166
13,0.84789148,-0.07166,0.97492401,0.57020106,0.17906,0.84789148,-0.07166,0.57020106,0.17906
14,0.74990743,-0.124992,0.89777651,0.45799511,0.12522,0.74990743,-0.124992,0.45799511,0.12522
15,0.83581747,-0.077889,0.88987053,0.51516683,0.15652,0.83581747,-0.077889,0.51516683,0.15652
16,0.692573,-0.159534,0.84958274,0.45547436,0.13738,0.692573,-0.159534,0.45547436,0.13738
17,0.85161331,-0.069758,1.00821427,0.51196888,0.283,0.85161331,-0.069758,0.51196888,0.283
18,0.6893856,-0.161538,0.84210421,0.47580984,0.14388,0.6893856,-0.161538,0.47580984,0.14388
19,0.72684708,-0.138557,1.03448162,0.52896918,0.16794,0.72684708,-0.138557,0.52896918,0.16794
20,0.73409272,-0.134249,0.6904436,0.49676434,0.1861,0.73409272,-0.134249,0.49676434,0.1861
22,0.65787188,-0.181859,0.87025164,0.48967726,0.13104,0.65787188,-0.181859,0.48967726,0.13104
24,0.64395469,-0.191145,0.77827887,0.44992058,0.08284,0.64395469,-0.191145,0.44992058,0.08284
26,0.76851693,-0.114347,0.86686496,0.51905647,0.19602,0.76851693,-0.114347,0.51905647,0.19602
28,0.95968475,-0.017871,0.86817878,0.49604033,0.17864,0.95968475,-0.017871,0.49604033,0.17864
30,0.718653,-0.143481,0.83296279,0.48987051,0.14942,0.718653,-0.143481,0.48987051,0.14942
35,0.72228643,-0.141291,0.65095163,0.43568329,0.1822,0.72228643,-0.141291,0.43568329,0.1822
40,0.66716816,-0.175765,0.60686236,0.42436234,0.1715,0.66716816,-0.175765,0.42436234,0.1715
45,0.62938895,-0.201081,0.77249534,0.46184702,0.13604,0.62938895,-0.201081,0.46184702,0.13604
50,0.57683826,-0.238946,0.7101573,0.46105772,0.1357,0.57683826,-0.238946,0.46105772,0.1357
60,0.65270654,-0.185282,0.85622957,0.47596333,0.19216,0.65270654,-0.185282,0.47596333,0.19216
70,0.57934445,-0.237063,0.71946444,0.4217748,0.1548,0.57934445,-0.237063,0.4217748,0.1548
80,0.56890221,-0.244962,0.84307928,0.44325185,0.1345,0.56890221,-0.244962,0.44325185,0.1345
90,0.47635855,-0.322066,0.83286391,0.38375258,0.06642,0.47635855,-0.322066,0.38375258,0.06642
100,0.46999845,-0.327904,0.61518005,0.37436534,0.11036,0.46999845,-0.327904,0.37436534,0.11036
110,0.40420841,-0.393395,0.7221266,0.31799196,0.0415,0.40420841,-0.393395,0.31799196,0.0415
120,0.36863516,-0.433403,0.7388008,0.32124267,0.0968,0.36863516,-0.433403,0.32124267,0.0968
130,0.31958181,-0.495418,0.57078627,0.26364348,0.03706,0.31958181,-0.495418,0.26364348,0.03706
140,0.28553797,-0.544336,0.48859192,0.24746064,0.03034,0.28553797,-0.544336,0.24746064,0.03034
150,0.22471226,-0.648373,0.41441906,0.22325244,0.0238,0.22471226,-0.648373,0.22325244,0.0238
160,0.17272517,-0.762644,0.36320763,0.19729325,0.00816,0.17272517,-0.762644,0.19729325,0.00816
170,0.12072078,-0.918218,0.27996448,0.2036457,0.00252,0.12072078,-0.918218,0.2036457,0.00252
180,0.06193866,-1.208038,0.22034288,0.18812906,4e-05,0.06193866,-1.208038,0.18812906,4e-05
190,0.03984721,-1.399602,0.22479747,0.18755798,0.0,0.03984721,-1.399602,0.18755798,0.0
200,0.03810838,-1.41898,0.22360239,0.1916937,0.0,0.03810838,-1.41898,0.1916937,0.0
