epoch,entk_distance_prev,entk_distance_final,mean_future_entk_similarity,entk_within_class_mean,entk_between_class_mean,entk_within_between_ratio,n_subset,per_class_subset_size,bias_included
0,nan,0.06809216,0.81854632,1410.79232981,0.0,1410792329805704.8,500,50,1
1,0.20663147,0.17090061,0.8220467,5.34602417,0.0,5346024173616.408,500,50,1
2,0.16586678,0.12684357,0.83450604,6.08942231,0.0,6089422308942.933,500,50,1
3,0.09231581,0.14530199,0.84861339,9.2570119,0.0,9257011898535.664,500,50,1
4,0.13488073,0.18295541,0.8548937,10.5727696,0.0,10572769595822.418,500,50,1
5,0.08878149,0.17976415,0.8793014,13.47467076,0.0,13474670758960.566,500,50,1
6,0.06907252,0.13740995,0.89480034,11.32739652,0.0,11327396516777.514,500,50,1
7,0.06979717,0.1772211,0.86925875,17.81789562,0.0,17817895615971.68,500,50,1
8,0.06173662,0.16432753,0.88726785,15.05278342,0.0,15052783423831.805,500,50,1
9,0.12327948,0.12668316,0.87645425,16.83515365,0.0,16835153646504.068,500,50,1
10,0.111328,0.20014259,0.83512424,19.25477323,0.0,19254773234028.055,500,50,1
11,0.13505917,0.13597585,0.90219274,16.66384688,0.0,16663846882453.008,500,50,1
12,0.06907654,0.13881054,0.90106032,13.40040581,0.0,13400405806779.96,500,50,1
13,0.08530412,0.21359124,0.86008776,19.03667878,0.0,19036678778162.254,500,50,1
14,0.12569723,0.1263606,0.90284007,17.10092818,0.0,17100928179609.457,500,50,1
15,0.10561641,0.17416587,0.87060517,16.53708908,0.0,16537089078839.4,500,50,1
16,0.1070657,0.14513179,0.89619894,16.15679939,0.0,16156799391132.062,500,50,1
17,0.10890169,0.15506153,0.87042209,21.31391897,0.0,21313918974612.883,500,50,1
18,0.11079408,0.13831318,0.88881597,19.09157929,0.0,19091579291213.773,500,50,1
19,0.1365361,0.22818715,0.83373582,21.5607541,0.0,21560754099325.707,500,50,1
20,0.19369819,0.15861763,0.87202802,14.73490807,0.0,14734908072630.852,500,50,1
22,0.11657633,0.18161306,0.87773822,18.8715481,0.0,18871548095950.598,500,50,1
24,0.09354398,0.13404796,0.89362867,16.03942763,0.0,16039427632041.38,500,50,1
26,0.12155908,0.19833009,0.85236562,21.78615259,0.0,21786152594570.71,500,50,1
28,0.1400799,0.1672232,0.86381653,16.51085667,0.0,16510856669539.035,500,50,1
30,0.15084658,0.16361902,0.87482672,19.99839426,0.0,19998394264420.5,500,50,1
35,0.09381849,0.12401939,0.89774122,21.09896754,0.0,21098967535106.504,500,50,1
40,0.07572144,0.12168132,0.89201074,19.63180158,0.0,19631801583022.13,500,50,1
45,0.11816749,0.1455011,0.88807651,19.78313161,0.0,19783131610077.81,500,50,1
50,0.09982528,0.1501789,0.88370023,20.47075652,0.0,20470756519679.496,500,50,1
60,0.09374993,0.14060325,0.88091335,22.38361647,0.0,22383616468020.93,500,50,1
70,0.13029612,0.15274532,0.88801605,20.83465775,0.0,20834657747141.08,500,50,1
80,0.06108029,0.18364324,0.85707904,25.12716467,0.0,25127164669212.418,500,50,1
90,0.07769923,0.12461525,0.89761808,26.41276623,0.0,26412766228855.598,500,50,1
100,0.07756469,0.13212639,0.89018535,26.32810773,0.0,26328107731815.17,500,50,1
110,0.07027637,0.09345615,0.92524243,27.75775031,0.0,27757750312832.297,500,50,1
120,0.0596012,0.08198104,0.93391685,30.53512386,0.0,30535123857111.152,500,50,1
130,0.05834505,0.06808263,0.94241401,33.08788386,0.0,33087883859570.85,500,50,1
140,0.04870365,0.06873698,0.94010222,36.15778588,0.0,36157785884057.17,500,50,1
150,0.0438047,0.03859516,0.96511821,38.2337308,0.0,38233730801869.055,500,50,1
160,0.02590397,0.02418869,0.97653468,37.09588841,0.0,37095888407407.46,500,50,1
170,0.02035401,0.01232682,0.98838811,38.73214194,0.0,38732141941815.625,500,50,1
180,0.01087528,0.00275904,0.997504,35.51567562,0.0,35515675617342.62,500,50,1
190,0.00223295,0.00064611,0.99935389,35.3874166,0.0,35387416598988.164,500,50,1
200,0.00064611,0.0,nan,35.06090374,0.0,35060903742488.4,500,50,1
