epoch_a,epoch_b,n_samples,cka_value
0,0,2040,1.0
0,1,2040,0.171212
0,2,2040,0.267003
0,3,2040,0.274198
0,4,2040,0.151145
0,5,2040,0.095782
0,6,2040,0.087496
0,7,2040,0.089227
0,8,2040,0.101133
0,9,2040,0.094251
0,10,2040,0.08626
0,11,2040,0.074012
0,12,2040,0.092048
0,13,2040,0.072403
0,14,2040,0.069026
0,15,2040,0.090571
0,16,2040,0.097249
0,17,2040,0.071198
0,18,2040,0.093281
0,19,2040,0.081454
0,20,2040,0.086712
0,22,2040,0.116124
0,24,2040,0.086438
0,26,2040,0.090599
0,28,2040,0.094507
0,30,2040,0.068526
0,35,2040,0.102802
0,40,2040,0.078066
0,45,2040,0.095757
0,50,2040,0.102392
0,60,2040,0.098289
0,70,2040,0.081205
0,80,2040,0.069486
0,90,2040,0.099694
0,100,2040,0.077983
0,110,2040,0.09448
0,120,2040,0.097533
0,130,2040,0.072485
0,140,2040,0.076166
0,150,2040,0.070606
0,160,2040,0.066689
0,170,2040,0.065587
0,180,2040,0.059993
0,190,2040,0.05977
0,200,2040,0.061053
1,1,2040,1.0
1,2,2040,0.769127
1,3,2040,0.668535
1,4,2040,0.512121
1,5,2040,0.419635
1,6,2040,0.399207
1,7,2040,0.347588
1,8,2040,0.430776
1,9,2040,0.403878
1,10,2040,0.360847
1,11,2040,0.322045
1,12,2040,0.376779
1,13,2040,0.356765
1,14,2040,0.321181
1,15,2040,0.424484
1,16,2040,0.326522
1,17,2040,0.289288
1,18,2040,0.355657
1,19,2040,0.362656
1,20,2040,0.377008
1,22,2040,0.378758
1,24,2040,0.323633
1,26,2040,0.315447
1,28,2040,0.359177
1,30,2040,0.331477
1,35,2040,0.397723
1,40,2040,0.301996
1,45,2040,0.41177
1,50,2040,0.35818
1,60,2040,0.435612
1,70,2040,0.27973
1,80,2040,0.328334
1,90,2040,0.329997
1,100,2040,0.322809
1,110,2040,0.406843
1,120,2040,0.366736
1,130,2040,0.298948
1,140,2040,0.331829
1,150,2040,0.310539
1,160,2040,0.287012
1,170,2040,0.266607
1,180,2040,0.257028
1,190,2040,0.260302
1,200,2040,0.263454
2,2,2040,1.0
2,3,2040,0.83952
2,4,2040,0.658948
2,5,2040,0.566157
2,6,2040,0.505102
2,7,2040,0.451361
2,8,2040,0.542078
2,9,2040,0.520779
2,10,2040,0.449358
2,11,2040,0.462236
2,12,2040,0.480941
2,13,2040,0.479557
2,14,2040,0.44391
2,15,2040,0.521678
2,16,2040,0.428508
2,17,2040,0.383614
2,18,2040,0.449328
2,19,2040,0.47611
2,20,2040,0.478162
2,22,2040,0.48997
2,24,2040,0.416598
2,26,2040,0.416251
2,28,2040,0.466688
2,30,2040,0.420112
2,35,2040,0.494594
2,40,2040,0.414289
2,45,2040,0.499036
2,50,2040,0.441202
2,60,2040,0.505305
2,70,2040,0.386266
2,80,2040,0.423153
2,90,2040,0.444781
2,100,2040,0.42392
2,110,2040,0.52997
2,120,2040,0.449857
2,130,2040,0.410754
2,140,2040,0.411094
2,150,2040,0.402562
2,160,2040,0.368987
2,170,2040,0.351153
2,180,2040,0.340482
2,190,2040,0.342068
2,200,2040,0.344502
3,3,2040,1.0
3,4,2040,0.753779
3,5,2040,0.672478
3,6,2040,0.607598
3,7,2040,0.550913
3,8,2040,0.635209
3,9,2040,0.618956
3,10,2040,0.542879
3,11,2040,0.550016
3,12,2040,0.569688
3,13,2040,0.579035
3,14,2040,0.541146
3,15,2040,0.604578
3,16,2040,0.522093
