epoch,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc
0,0.4409,0.3901,0.4182,0.3853,nan
1,0.418,0.3944,0.388,0.4219,nan
2,0.5161,0.4709,0.4835,0.5104,nan
3,0.6102,0.5636,0.582,0.5814,nan
4,0.6906,0.6547,0.6701,0.6657,nan
5,0.7353,0.6959,0.7148,0.7084,nan
6,0.7632,0.7238,0.7397,0.7297,nan
7,0.7953,0.7646,0.7746,0.7737,nan
8,0.8128,0.7705,0.7909,0.7852,nan
9,0.815,0.7801,0.7957,0.7902,nan
10,0.8218,0.7902,0.795,0.7902,nan
11,0.8307,0.7968,0.8149,0.8139,nan
12,0.8279,0.7935,0.8099,0.8086,nan
13,0.8275,0.7881,0.8073,0.8009,nan
14,0.8342,0.8004,0.8183,0.8165,nan
15,0.8423,0.809,0.8258,0.8258,nan
16,0.847,0.8114,0.8283,0.8281,nan
17,0.8544,0.8167,0.839,0.8359,nan
18,0.8447,0.8083,0.8317,0.8241,nan
19,0.8432,0.8116,0.8284,0.8275,nan
20,0.8506,0.8217,0.8369,0.8346,nan
22,0.8484,0.818,0.8349,0.8317,nan
24,0.8492,0.8199,0.8337,0.8318,nan
26,0.8612,0.8288,0.8465,0.8425,nan
28,0.8633,0.8317,0.8459,0.851,nan
30,0.8537,0.8245,0.8381,0.8386,nan
35,0.8542,0.8253,0.8348,0.8347,nan
40,0.85,0.8138,0.8251,0.8215,nan
45,0.8651,0.8379,0.8512,0.8507,nan
50,0.8664,0.8368,0.8464,0.8454,nan
60,0.8774,0.8481,0.8613,0.8594,nan
70,0.8673,0.8471,0.8512,0.8497,nan
80,0.8814,0.8565,0.8619,0.8613,nan
90,0.8841,0.8621,0.8694,0.8704,nan
100,0.8946,0.8789,0.882,0.8837,nan
110,0.8901,0.8704,0.8735,0.8763,nan
120,0.9011,0.8852,0.8881,0.8891,nan
130,0.9144,0.9008,0.9013,0.9011,nan
140,0.9186,0.9104,0.9128,0.9141,nan
150,0.9171,0.9081,0.9091,0.9112,nan
160,0.9243,0.922,0.9189,0.9209,nan
170,0.9343,0.9329,0.935,0.9352,nan
180,0.9453,0.9432,0.9444,0.9438,nan
190,0.9474,0.9474,0.9475,0.9475,nan
200,0.9483,0.9486,0.9483,0.9478,nan
