epoch,n_samples,local_cka_change,cka_to_final,mean_future_cka,below_tau
0,2040,nan,0.069172,0.101538,0
1,2040,0.818192,0.259697,0.343549,0
2,2040,0.379757,0.444791,0.580796,0
3,2040,0.25313,0.510352,0.64995,0
4,2040,0.317585,0.561177,0.67688,0
5,2040,0.254853,0.588297,0.718252,0
6,2040,0.279063,0.593851,0.681389,0
7,2040,0.224962,0.603223,0.728353,0
8,2040,0.229838,0.639061,0.737901,0
9,2040,0.207741,0.637154,0.731047,0
10,2040,0.227728,0.573825,0.67126,0
11,2040,0.265707,0.635186,0.724137,0
12,2040,0.282748,0.623563,0.722518,0
13,2040,0.19866,0.642022,0.743926,0
14,2040,0.23197,0.630519,0.712565,0
15,2040,0.287094,0.630261,0.721711,0
16,2040,0.250803,0.614009,0.694911,0
17,2040,0.282113,0.625696,0.72241,0
18,2040,0.212902,0.688566,0.760407,0
19,2040,0.242404,0.6518,0.729136,0
20,2040,0.278162,0.63897,0.711833,0
22,2040,0.283174,0.617917,0.694126,0
24,2040,0.305811,0.642523,0.708383,0
26,2040,0.278498,0.686284,0.756734,0
28,2040,0.206298,0.677134,0.745408,0
30,2040,0.258873,0.600422,0.679526,0
35,2040,0.274248,0.684345,0.741963,0
40,2040,0.274288,0.642171,0.706778,0
45,2040,0.222669,0.699811,0.760725,0
50,2040,0.237215,0.632231,0.701166,0
60,2040,0.175653,0.685501,0.738599,0
70,2040,0.250811,0.695932,0.745099,0
80,2040,0.193919,0.711881,0.759185,0
90,2040,0.18704,0.723087,0.760816,0
100,2040,0.206865,0.715187,0.742348,0
110,2040,0.243848,0.749151,0.775273,0
120,2040,0.166974,0.789514,0.80381,0
130,2040,0.153477,0.787862,0.79418,0
140,2040,0.183828,0.823897,0.827032,0
150,2040,0.158386,0.860395,0.859868,0
160,2040,0.132724,0.898253,0.896172,0
170,2040,0.105055,0.93834,0.937652,0
180,2040,0.063875,0.987264,0.987207,0
190,2040,0.01285,0.998547,0.998547,1
200,2040,0.001453,1.0,nan,1
